FEEDER_ID,FEEDERID_FULL,FROM_SWITCH,TO_SWITCH,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,COMMENTS,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH
15454,24THRD_11KV_15454,15454,38196,24TH ROAD REC-STN,GANGA JAMUNA SANGAM,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-1238,1,2009-03-26 00:00:00+00:00,24TH ROAD REC-STN TO GANGA JAMUNA CHS (FROM SWNO_15454 TO JT.NO.2B),AL,AL,XLPE,NAN,64.0
15454,24THRD_11KV_15454,15454,38196,24TH ROAD REC-STN,GANGA JAMUNA SANGAM,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-1238,1,2008-12-26 00:00:00+00:00,24TH ROAD REC-STN TO GANGA JAMUNA CHS (JT.NO.2A TO JT.NO.2D),AL,AL,XLPE,NAN,36.9
15454,24THRD_11KV_15454,15454,38196,24TH ROAD REC-STN,GANGA JAMUNA SANGAM,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-1238,1,2009-03-26 00:00:00+00:00,24TH ROAD REC-STN TO GANGA JAMUNA CHS (JT.NO.2B TO JT.NO.2A),AL,AL,XLPE,NAN,98.8
15454,24THRD_11KV_15454,15454,38196,24TH ROAD REC-STN,GANGA JAMUNA SANGAM,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-1238,1,2016-08-09 00:00:00+00:00,24TH ROAD REC-STN TO GANGA JAMUNA CHS (JT.NO.2D TO SWNO_38196),AL,AL,XLPE,NAN,43.2
15454,24THRD_11KV_15454,38195,34116,GANGA JAMUNA SANGAM,FORTUNE ENCLAVE,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,2,2016-08-09 00:00:00+00:00,GANGA JAMUNA CHS TO FORTUNE ENCLAVE (FROM SWNO_38195 TO JT.NO.2H),AL,AL,XLPE,NAN,34.0
15454,24THRD_11KV_15454,38195,34116,GANGA JAMUNA SANGAM,FORTUNE ENCLAVE,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,2,2008-12-26 00:00:00+00:00,GANGA JAMUNA CHS TO FORTUNE ENCLAVE (JT.NO.2 TO JT.NO.2C),AL,AL,XLPE,NAN,88.4
15454,24THRD_11KV_15454,38195,34116,GANGA JAMUNA SANGAM,FORTUNE ENCLAVE,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,2,2009-12-23 00:00:00+00:00,GANGA JAMUNA CHS TO FORTUNE ENCLAVE (JT.NO.2C TO SWNO_34116),AL,AL,XLPE,NAN,46.5
15454,24THRD_11KV_15454,38195,34116,GANGA JAMUNA SANGAM,FORTUNE ENCLAVE,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,2,2008-12-26 00:00:00+00:00,GANGA JAMUNA CHS TO FORTUNE ENCLAVE (JT.NO.2F TO JT.NO.2G),AL,AL,XLPE,NAN,125.0
15454,24THRD_11KV_15454,38195,34116,GANGA JAMUNA SANGAM,FORTUNE ENCLAVE,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,2,2008-12-26 00:00:00+00:00,GANGA JAMUNA CHS TO FORTUNE ENCLAVE (JT.NO.2G TO JT.NO.2),AL,AL,XLPE,NAN,89.3
15454,24THRD_11KV_15454,38195,34116,GANGA JAMUNA SANGAM,FORTUNE ENCLAVE,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,2,2008-12-26 00:00:00+00:00,GANGA JAMUNA CHS TO FORTUNE ENCLAVE (JT.NO.2H TO JT.NO.2F),AL,AL,XLPE,NAN,127.6
15454,24THRD_11KV_15454,34114,32764,FORTUNE ENCLAVE,HI-CONS MARQUE,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL01-0860,3,2009-12-23 00:00:00+00:00,FORTUNE ENCLAVE TO HI CONS MARQUE (SWNO_34114 TO JT.NO.1),AL,AL,XLPE,NAN,44.5
15454,24THRD_11KV_15454,34114,32764,FORTUNE ENCLAVE,HI-CONS MARQUE,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL01-0860,3,2012-03-03 00:00:00+00:00,FORTUNE ENCLAVE TO HI CONS MARQUE(FROM SWNO_31557 TO JT.NO.1A),AL,AL,XLPE,NAN,43.5
15454,24THRD_11KV_15454,34114,32764,FORTUNE ENCLAVE,HI-CONS MARQUE,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL01-0860,3,2008-12-26 00:00:00+00:00,FORTUNE ENCLAVE TO HI CONS MARQUE(JT.NO.1 TO JT.NO.1A),AL,AL,XLPE,NAN,86.5
15454,24THRD_11KV_15454,32766,31556,HI-CONS MARQUE,14TH ROAD NO. 2,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL02-0815,4,2012-03-03 00:00:00+00:00,HI CONS MARQUE TO 14 TH RD NO 2 (FROM SWNO_32766 TO JT.NO.1B),AL,AL,XLPE,NAN,36.5
15454,24THRD_11KV_15454,32766,31556,HI-CONS MARQUE,14TH ROAD NO. 2,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL02-0815,4,2008-12-26 00:00:00+00:00,HI CONS MARQUE TO 14 TH RD NO 2 (JT.NO.1B TO SWNO_31557 ),AL,AL,XLPE,NAN,110.1
15454,24THRD_11KV_15454,31555,4467,14TH ROAD NO. 2,BADRINATH,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0054,5,2009-01-08 00:00:00+00:00,14 TH RD NO 2 TO BADRINATH (JT.NO.1A TO SWNO_04467),AL,AL,XLPE,NAN,62.8
15454,24THRD_11KV_15454,31555,4467,14TH ROAD NO. 2,BADRINATH,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0054,5,2009-01-08 00:00:00+00:00,14 TH RD NO 2 TO BADRINATH(SWNO_31555 TO JT.NO.1A),AL,AL,XLPE,NAN,218.3
15454,24THRD_11KV_15454,4465,17733,BADRINATH,FOURTEENTH ROAD (14TH),1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0003,6,2018-09-20 00:00:00+00:00,BADRINATH TO FOURTEENTH ROAD(14TH) (FROM SWNO_04465 TO JT.NO.1),AL,AL,XLPE,NAN,252.4
15454,24THRD_11KV_15454,4465,17733,BADRINATH,FOURTEENTH ROAD (14TH),1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0003,6,2018-09-20 00:00:00+00:00,BADRINATH TO FOURTEENTH ROAD(14TH) (JT.NO.1 TO SWNO_17733),AL,AL,XLPE,NAN,55.5
15454,24THRD_11KV_15454,17731,38557,FOURTEENTH ROAD (14TH),BELLEZA TOWER,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-1240,7,2019-04-03 00:00:00+00:00,FOURTEENTH ROAD (14TH) TO BELLEZA TOWER (FROM SWNO_17731 TO JT.NO.1),AL,AL,XLPE,NAN,102.7
15454,24THRD_11KV_15454,17731,38557,FOURTEENTH ROAD (14TH),BELLEZA TOWER,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-1240,7,2019-04-03 00:00:00+00:00,FOURTEENTH ROAD (14TH) TO BELLEZA TOWER (JT.NO.1 TO JT.NO.1A),AL,AL,XLPE,NAN,91.6
