FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,PATH,NO_OF_SEGMENT,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT_OLDEST,NOOFJOINTS,NOOFSUBSTATION
10205.0,18556.0,10205,AMBVLI_11KV_10205,AMBIVLI REC-STN,LAXMI NO.2,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2382,1,,AL,AL,XLPE,NAN,10.0,,SWNO_10205 -> JT.NO.21 | SWNO_18556,2,188.8,,4,840
10205.0,10634.0,10205,AMBVLI_11KV_10205,AMBIVLI REC-STN,SEJAL,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2723,2,2016-06-04,AL,AL,PILC,NAN,13.5,,SWNO_10205 -> JT.NO.33F | JT.NO.33 -> JT.NO.33J | JT.NO.33F -> JT.NO.33 | JT.NO.33H -> JT.NO.33L | JT.NO.33J -> JT.NO.33H | JT.NO.33L -> JT.NO.33M | JT.NO.33M -> SWNO_10634,7,646.3,2016-06-04 00:00:00+00:00,548,840
18558.0,18559.0,10205,AMBVLI_11KV_10205,LAXMI NO.2,LAXMI NO.3,1S-MH-MU-ZSC-CL09-2382,1S-MH-MU-ZSC-CL09-2383,2,,AL,AL,PILC,NAN,11.0,RESIDENTIAL,SWNO_18559 -> SWNO_18558,1,11.0,,0,29
16951.0,4853.0,10205,AMBVLI_11KV_10205,SEJAL,KOLESITE,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2366,2.1,2023-05-10,AL,AL,PILC,NAN,38.0,,SWNO_04853 -> JT.NO.23 | JT.NO.21 -> JT.NO.22 | JT.NO.22 -> SWNO_16951 | JT.NO.23 -> JT.NO.21,4,441.00954819,2023-05-10 00:00:00+00:00,31,196
4855.0,6089.0,10205,AMBVLI_11KV_10205,KOLESITE,JYOTI WIRE INDUSTRIES,1S-MH-MU-ZSC-CL09-2366,1S-MH-MU-ZSC-CL09-2348,2.2,2024-06-01,AL,AL,PILC,NAN,90.0,,SWNO_06089 -> JT.NO.1 | JT.NO.1A -> SWNO_04855,2,159.9,2024-06-01 00:00:00+00:00,6,43
6088.0,25212.0,10205,AMBVLI_11KV_10205,JYOTI WIRE INDUSTRIES,AFCONS,1S-MH-MU-ZSC-CL09-2348,1S-MH-MU-ZSC-CL09-2019,2.3,,AL,AL,XLPE,NAN,46.7,,SWNO_25212 -> JT.NO.27B | JT.NO.27 -> SWNO_06088 | JT.NO.27A -> JT.NO.27 | JT.NO.27B -> JT.NO.27C | JT.NO.27C -> JT.NO.27A,5,239.5,,12,43
10632.0,573.0,10205,AMBVLI_11KV_10205,SEJAL,ANDHERI SEWAGE,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2074,3,,AL,AL,XLPE,NAN,173.5,RESIDENTIAL,SWNO_10632 -> JT.NO.11H | JT.NO.11 -> SWNO_00573 | JT.NO.11A -> JT.NO.11G | JT.NO.11B -> JT.NO.11C | JT.NO.11B -> JT.NO.11J | JT.NO.11C -> JT.NO.11A | JT.NO.11D -> JT.NO.11 | JT.NO.11E -> JT.NO.11D | JT.NO.11F -> JT.NO.11E | JT.NO.11G -> JT.NO.11F | JT.NO.11H -> JT.NO.11B,12,595.34858689,,42,55
572.0,39962.0,10205,AMBVLI_11KV_10205,ANDHERI SEWAGE,SAI KANWAL,1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL06-3404,3.1,2019-01-25,AL,AL,XLPE,NAN,112.5,,SWNO_00572 -> JT.NO.10D | JT.NO.10A -> JT.NO.10B | JT.NO.10B -> JT.NO.10C | JT.NO.10C -> JT.NO.10H | JT.NO.10D -> JT.NO.10E | JT.NO.10E -> JT.NO.10F | JT.NO.10F -> JT.NO.10G | JT.NO.10G -> JT.NO.10A | JT.NO.10H -> SWNO_39962,9,675.0,2019-01-25 00:00:00+00:00,32,55
39964.0,39632.0,10205,AMBVLI_11KV_10205,SAI KANWAL,INDIAN OIL NAGAR NO.2,1S-MH-MU-ZSC-CL06-3404,1S-MH-MU-ZSC-CL06-3489,3.2,2019-01-25,AL,AL,XLPE,NAN,130.7,,SWNO_39964 -> JT.NO.29 | JT.NO.29 -> JT.NO.29A | JT.NO.29A -> SWNO_39632,3,159.39999999999998,2019-01-25 00:00:00+00:00,2,122
39633.0,5821.0,10205,AMBVLI_11KV_10205,INDIAN OIL NAGAR NO.2,ASHISH,1S-MH-MU-ZSC-CL06-3489,1S-MH-MU-ZSC-CL06-2088,3.3,2019-01-25,AL,AL,XLPE,NAN,35.9,,SWNO_39633 -> JT.NO.10A | JT.NO.10 -> SWNO_05821 | JT.NO.10A -> JT.NO.10,3,313.4,2019-01-25 00:00:00+00:00,23,136
