FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,FROM_SWITCH_N,FEEDER_ID_N,PATH,NO_OF_SEGMENT,DEDUP_KEY,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT,SWNO,COMMISSIONEDDATE_DT_OLDEST
,,35162,GORAI_11kV_35162,GORAI RSC 52,GORAI RSC 52 SOUTH,1S-MH-MU-ZNT-CL06-6255,1S-MH-MU-ZNT-CL06-6256,4,2020-07-09,AL,AL,XLPE,,38.2,INDUSTRIAL,,35162,SWNO_16641 -> JT.NO.14A | JT.NO.14 -> SWNO_17241 | JT.NO.14B -> JT.NO.14 | JT.NO.14A -> JT.NO.14B,4,,349.5,2024-11-25 00:00:00+00:00,,2020-07-09 00:00:00+00:00
,18413,35367,KALINA_11kV_35367,KALINA SUNDAR NAGAR CHS,KALINA CENTRAL NO.3,1S-MH-MU-ZST-CL07-1375,1S-MH-MU-ZST-CL07-0281,5.2,2020-07-09,AL,AL,XLPE,,183.6,INDUSTRIAL,,35367,JT.NO.3 -> SWNO_18413 | SWNO_12756 -> JT.NO.3,2,18413,292.0,2020-07-09 00:00:00+00:00,18413,2020-07-09 00:00:00+00:00
10004,11543,35037,SHANTIST_11kV_35037,SHANTI NAGAR EAST,DELTA REFRIGERATION,1S-MH-MU-ZNT-CL10-6672,1S-MH-MU-ZNT-CL11-6147,2,2009-12-02,AL,AL,XLPE,,253.3,RESIDENTIAL,10004,35037,SWNO_10004 -> JT.NO.55C | JT.NO.55 -> JT.NO.55A | JT.NO.55A -> JT.NO.55B | JT.NO.55B -> SWNO_11543 | JT.NO.55C -> JT.NO.55,5,11543,779.0,2009-12-02 00:00:00+00:00,11543,2009-12-02 00:00:00+00:00
10008,2907,38717,PALI_11kV_38717,BENSTON,KHATAU ESTATE NO.1,1S-MH-MU-ZST-CL02-0080,1S-MH-MU-ZST-CL02-0303,3.3,,AL,AL,XLPE,,247.5,,10008,38717,JT.NO.1 -> SWNO_02907 | SWNO_10008 -> JT.NO.1,2,2907,521.6,,2907,
10010,41791,30033,PALMCT_11kV_30033,KHARODI SOUTH NO.3,MALWANI MHADA NO.8,1S-MH-MU-ZCT-CL06-4389,1S-MH-MU-ZCT-CL06-5021,3,2021-11-16,AL,AL,XLPE,,109.0,,10010,30033,SWNO_41791 -> JT.NO.103 | JT.NO.103 -> JT.NO.103A | JT.NO.103A -> JT.NO.103B | JT.NO.103B -> JT.NO.103C | JT.NO.103C -> SWNO_10010,5,41791,778.9,2021-11-16 00:00:00+00:00,41791,2021-11-16 00:00:00+00:00
10012,14013,30033,PALMCT_11kV_30033,KHARODI SOUTH NO.3,MALVANI GATE NO.7,1S-MH-MU-ZCT-CL06-4389,1S-MH-MU-ZCT-CL06-4465,2.1,2016-03-29,AL,AL,XLPE,,244.7,,10012,30033,SWNO_10012 -> JT.NO.157 | JT.NO.157 -> JT.NO.157A | JT.NO.157A -> JT.NO.157B | JT.NO.157B -> SWNO_14013,4,14013,373.5,2016-03-29 00:00:00+00:00,14013,2016-03-29 00:00:00+00:00
10015,10439,26416,TGRNGR_11kV_26416,POLYSHOOR PLASTICS,SURYA NGR 1,1S-MH-MU-ZET-CL05-8642,1S-MH-MU-ZET-CL05-8830,3,,AL,AL,PILC,,370.09996927,,10015,26416,SWNO_10015 -> SWNO_10438,1,10439,370.09996927,,10439,
10016,19962,26416,TGRNGR_11kV_26416,POLYSHOOR PLASTICS,SURYA NGR 2,1S-MH-MU-ZET-CL05-8642,1S-MH-MU-ZET-CL05-8831,2.1,,AL,AL,PILC,,225.02152867,,10016,26416,SWNO_19962 -> SWNO_10016,1,19962,225.02152867,,19962,
10031,40764,40936,DINDO_11kV_40936,INDRAPRASTHA,JITENDRA ROAD RAJHANS,1S-MH-MU-ZCT-CL08-4315,1S-MH-MU-ZCT-CL08-5670,8,2019-05-02,AL,AL,XLPE,,133.8,,10031,40936,SWNO_10031 -> JT.NO.115 | JT.NO.115 -> SWNO_40764,2,40764,196.3,2019-05-02 00:00:00+00:00,40764,2019-05-02 00:00:00+00:00
10035,36140,41516,SHRADDHAN_11kV_41516,RIZVI PARK,SAI BABA,1S-MH-MU-ZST-CL03-0444,1S-MH-MU-ZST-CL03-0452,3,2015-05-28,AL,AL,PILC,,60.4,,10035,41516,JT.NO.34 -> JT.NO.35F | SWNO_10035 -> JT.NO.34 | JT.NO.35A -> SWNO_36340 | JT.NO.35B -> JT.NO.35A | JT.NO.35C -> JT.NO.35B | JT.NO.35D -> JT.NO.35C | JT.NO.35E -> JT.NO.35G | JT.NO.35F -> JT.NO.35E | JT.NO.35G -> JT.NO.35L | JT.NO.35J -> JT.NO.35K | JT.NO.35K -> JT.NO.35D | JT.NO.35L -> JT.NO.35J,12,36140,743.5,2015-05-28 00:00:00+00:00,36140,2015-05-28 00:00:00+00:00
10036,40053,40375,MGHWDI_11kV_40375,MINAL APARTMENT,SUPARSHWA URBANA,1S-MH-MU-ZSC-CL03-2521,1S-MH-MU-ZSC-CL03-3588,4.7.1,2019-03-09,AL,AL,XLPE,,105.3,,10036,40375,SWNO_40053 -> SWNO_10036,1,40053,105.3,2019-03-09 00:00:00+00:00,40053,2019-03-09 00:00:00+00:00
10039,14443,40375,MGHWDI_11kV_40375,MINAL APARTMENT,SHIV KRIPA,1S-MH-MU-ZSC-CL03-2521,1S-MH-MU-ZSC-CL03-2744,4.8,,AL,AL,PILC,,55.71847041,,10039,40375,SWNO_14443 -> SWNO_10039,1,14443,55.71847041,,14443,
