,rf_gini_importance,perm_importance_mean,perm_importance_std
log1p_LENGTH_KM,0.20235836970585194,0.062890625,0.018192392222179714
log1p_hist_faults_cum,0.1408175716605461,0.025390625,0.011620683422377747
hist_faults_cum,0.12411212923266163,0.018359375,0.00782225952910187
joint_density,0.11641877042718057,0.016796875,0.008916181414463539
recent_24m,0.10978241333316284,0.026171875,0.006064130740726572
i_mtbf_inv,0.10644847527083998,0.0328125,0.01187397199497708
load_range_idx,0.07062879503124499,0.013671875,0.005859375
cycle_pm,0.06589823505054798,0.011328125,0.002103580002786916
log1p_age_frac,0.04269244345675368,0.005078125,0.0025012204052472066
recent_8m,0.020842796831210354,0.0078125,0.00427908248050911
