SWITCH_ID,YEAR,MONTH,YM,PRED_FAULTS
0,2024,1,2024-01,0.0010720714926719666
0,2024,2,2024-02,0.0005448089796118438
0,2024,3,2024-03,0.0016824963968247175
0,2024,4,2024-04,0.002650803653523326
0,2024,5,2024-05,0.0012334058992564678
0,2024,6,2024-06,0.0012445116881281137
0,2024,7,2024-07,0.0002342849620617926
0,2024,8,2024-08,0.00021043038577772677
0,2024,9,2024-09,0.00012014850653940812
0,2024,10,2024-10,0.0005838905344717205
0,2024,11,2024-11,0.0004602984117809683
0,2024,12,2024-12,0.001233566552400589
58,2024,1,2024-01,0.013906188309192657
58,2024,2,2024-02,0.013121007941663265
58,2024,3,2024-03,0.02289646491408348
58,2024,4,2024-04,0.029290618374943733
58,2024,5,2024-05,0.02255345694720745
58,2024,6,2024-06,0.016438202932476997
58,2024,7,2024-07,0.005445227492600679
58,2024,8,2024-08,0.0050083352252841
58,2024,9,2024-09,0.004523731768131256
58,2024,10,2024-10,0.00985522847622633
58,2024,11,2024-11,0.009776143357157707
58,2024,12,2024-12,0.016621962189674377
76,2024,1,2024-01,0.06759800016880035
76,2024,2,2024-02,0.07866068929433823
76,2024,3,2024-03,0.08907781541347504
76,2024,4,2024-04,0.11383574455976486
76,2024,5,2024-05,0.12333821505308151
76,2024,6,2024-06,0.07418268918991089
76,2024,7,2024-07,0.03465272858738899
76,2024,8,2024-08,0.03382562845945358
76,2024,9,2024-09,0.03777749836444855
76,2024,10,2024-10,0.056342992931604385
76,2024,11,2024-11,0.05712279677391052
76,2024,12,2024-12,0.08742649108171463
82,2024,1,2024-01,0.002653430448845029
82,2024,2,2024-02,0.001716894214041531
82,2024,3,2024-03,0.0047627161256968975
82,2024,4,2024-04,0.006359472870826721
82,2024,5,2024-05,0.0032182883005589247
82,2024,6,2024-06,0.0031637572683393955
82,2024,7,2024-07,0.0008114396478049457
82,2024,8,2024-08,0.0006953986594453454
82,2024,9,2024-09,0.000454736000392586
82,2024,10,2024-10,0.0015556615544483066
82,2024,11,2024-11,0.0014336210442706943
82,2024,12,2024-12,0.0028666923753917217
104,2024,1,2024-01,0.0009636691538617015
104,2024,2,2024-02,0.00047953627654351294
104,2024,3,2024-03,0.0015614033909514546
104,2024,4,2024-04,0.002427126048132777
104,2024,5,2024-05,0.0010980067308992147
104,2024,6,2024-06,0.001131136785261333
104,2024,7,2024-07,0.0002118118281941861
104,2024,8,2024-08,0.0001894580782391131
104,2024,9,2024-09,0.00010640540858730674
104,2024,10,2024-10,0.0005192214157432318
104,2024,11,2024-11,0.0004143085388932377
104,2024,12,2024-12,0.001102701760828495
105,2024,1,2024-01,0.02499539777636528
105,2024,2,2024-02,0.02751789428293705
105,2024,3,2024-03,0.04246526211500168
105,2024,4,2024-04,0.05024354159832001
105,2024,5,2024-05,0.04151597619056702
105,2024,6,2024-06,0.02953813597559929
105,2024,7,2024-07,0.011692265048623085
105,2024,8,2024-08,0.010470078326761723
105,2024,9,2024-09,0.010371137410402298
105,2024,10,2024-10,0.018554186448454857
105,2024,11,2024-11,0.019926881417632103
105,2024,12,2024-12,0.029002869501709938
106,2024,1,2024-01,0.001295754685997963
106,2024,2,2024-02,0.0006987853557802737
106,2024,3,2024-03,0.002145195845514536
106,2024,4,2024-04,0.0032409203704446554
106,2024,5,2024-05,0.0014864432159811258
106,2024,6,2024-06,0.0015345726860687137
106,2024,7,2024-07,0.00031659536762163043
106,2024,8,2024-08,0.00027172279078513384
106,2024,9,2024-09,0.0001593624911038205
106,2024,10,2024-10,0.0007019441691227257
106,2024,11,2024-11,0.0005988086340948939
106,2024,12,2024-12,0.0014726938679814339
110,2024,1,2024-01,0.0015960969030857086
110,2024,2,2024-02,0.00090880470816046
110,2024,3,2024-03,0.002675434108823538
110,2024,4,2024-04,0.003926199395209551
110,2024,5,2024-05,0.0018762004328891635
110,2024,6,2024-06,0.0018863158766180277
110,2024,7,2024-07,0.0004075324395671487
110,2024,8,2024-08,0.0003549683024175465
110,2024,9,2024-09,0.00021567288786172867
110,2024,10,2024-10,0.0008923410787247121
110,2024,11,2024-11,0.0007665492594242096
110,2024,12,2024-12,0.0017905209679156542
116,2024,1,2024-01,0.0010873011779040098
116,2024,2,2024-02,0.0005776287871412933
116,2024,3,2024-03,0.001919270376674831
116,2024,4,2024-04,0.002759721362963319
116,2024,5,2024-05,0.0011696271831169724
116,2024,6,2024-06,0.0012891290243715048
116,2024,7,2024-07,0.00026774825528264046
116,2024,8,2024-08,0.00022799603175371885
116,2024,9,2024-09,0.000128502695588395
116,2024,10,2024-10,0.0005828010034747422
116,2024,11,2024-11,0.0004991149180568755
116,2024,12,2024-12,0.0011543001746758819
173,2024,1,2024-01,0.0009287833236157894
173,2024,2,2024-02,0.0004806857032235712
173,2024,3,2024-03,0.0016538853524252772
173,2024,4,2024-04,0.0024007095489650965
173,2024,5,2024-05,0.0009858893463388085
173,2024,6,2024-06,0.0011072441702708602
173,2024,7,2024-07,0.00022414213162846863
173,2024,8,2024-08,0.00018830625049304217
173,2024,9,2024-09,0.0001039604758261703
173,2024,10,2024-10,0.00048784431419335306
173,2024,11,2024-11,0.0004171591717749834
173,2024,12,2024-12,0.000983735895715654
250,2024,1,2024-01,0.043645843863487244
250,2024,2,2024-02,0.048081837594509125
250,2024,3,2024-03,0.06051378697156906
250,2024,4,2024-04,0.07862065732479095
250,2024,5,2024-05,0.08055559545755386
250,2024,6,2024-06,0.049007367342710495
250,2024,7,2024-07,0.02058611996471882
250,2024,8,2024-08,0.019843770191073418
250,2024,9,2024-09,0.02099267579615116
250,2024,10,2024-10,0.03461645916104317
250,2024,11,2024-11,0.034360796213150024
250,2024,12,2024-12,0.05631178617477417
251,2024,1,2024-01,0.0009379660477861762
251,2024,2,2024-02,0.0004724889586213976
251,2024,3,2024-03,0.001531241345219314
251,2024,4,2024-04,0.0023879038635641336
251,2024,5,2024-05,0.0010470811976119876
251,2024,6,2024-06,0.0010998540092259645
251,2024,7,2024-07,0.00020840966317337006
251,2024,8,2024-08,0.00018227107648272067
251,2024,9,2024-09,0.00010193172056460753
251,2024,10,2024-10,0.0004998435615561903
251,2024,11,2024-11,0.00040544322109781206
251,2024,12,2024-12,0.0010591255268082023
274,2024,1,2024-01,0.05690029636025429
274,2024,2,2024-02,0.06379009783267975
274,2024,3,2024-03,0.0735178142786026
274,2024,4,2024-04,0.09679330140352249
274,2024,5,2024-05,0.10406837612390518
274,2024,6,2024-06,0.06244007498025894
274,2024,7,2024-07,0.026359064504504204
274,2024,8,2024-08,0.026360174641013145
274,2024,9,2024-09,0.028887463733553886
274,2024,10,2024-10,0.04685008153319359
274,2024,11,2024-11,0.04569554328918457
274,2024,12,2024-12,0.07432502508163452
275,2024,1,2024-01,0.0010046816896647215
275,2024,2,2024-02,0.000518758490215987
275,2024,3,2024-03,0.001753057586029172
275,2024,4,2024-04,0.002564826048910618
275,2024,5,2024-05,0.0010855349246412516
275,2024,6,2024-06,0.0011923706624656916
275,2024,7,2024-07,0.00024421513080596924
275,2024,8,2024-08,0.00020866301201749593
275,2024,9,2024-09,0.00011519456165842712
275,2024,10,2024-10,0.0005334229208528996
275,2024,11,2024-11,0.00045216959551908076
275,2024,12,2024-12,0.001079575507901609
278,2024,1,2024-01,0.055746376514434814
278,2024,2,2024-02,0.06206129491329193
278,2024,3,2024-03,0.06517378240823746
278,2024,4,2024-04,0.09513251483440399
278,2024,5,2024-05,0.11153818666934967
278,2024,6,2024-06,0.06027356535196304
278,2024,7,2024-07,0.023384571075439453
278,2024,8,2024-08,0.024230007082223892
278,2024,9,2024-09,0.02777174860239029
278,2024,10,2024-10,0.04626468941569328
278,2024,11,2024-11,0.043055467307567596
278,2024,12,2024-12,0.07953086495399475
288,2024,1,2024-01,0.03115708939731121
288,2024,2,2024-02,0.034840162843465805
288,2024,3,2024-03,0.050567951053380966
288,2024,4,2024-04,0.06104016304016113
288,2024,5,2024-05,0.05235008895397186
288,2024,6,2024-06,0.03628185763955116
288,2024,7,2024-07,0.015077213756740093
288,2024,8,2024-08,0.013542287051677704
