SWITCH_ID,YEAR,QUARTER,PRED_FAULTS_Q
0,2024,1,0
0,2024,2,0
0,2024,3,0
0,2024,4,0
58,2024,1,0
58,2024,2,0
58,2024,3,0
58,2024,4,0
76,2024,1,0
76,2024,2,0
76,2024,3,0
76,2024,4,0
82,2024,1,0
82,2024,2,0
82,2024,3,0
82,2024,4,0
104,2024,1,0
104,2024,2,0
104,2024,3,0
104,2024,4,0
105,2024,1,0
105,2024,2,0
105,2024,3,0
105,2024,4,0
106,2024,1,0
106,2024,2,0
106,2024,3,0
106,2024,4,0
110,2024,1,0
110,2024,2,0
110,2024,3,0
110,2024,4,0
116,2024,1,0
116,2024,2,0
116,2024,3,0
116,2024,4,0
173,2024,1,0
173,2024,2,0
173,2024,3,0
173,2024,4,0
250,2024,1,0
250,2024,2,0
250,2024,3,0
250,2024,4,0
251,2024,1,0
251,2024,2,0
251,2024,3,0
251,2024,4,0
274,2024,1,0
274,2024,2,0
274,2024,3,0
274,2024,4,0
275,2024,1,0
275,2024,2,0
275,2024,3,0
275,2024,4,0
278,2024,1,0
278,2024,2,0
278,2024,3,0
278,2024,4,0
288,2024,1,0
288,2024,2,0
288,2024,3,0
288,2024,4,0
336,2024,1,0
336,2024,2,0
336,2024,3,0
336,2024,4,0
344,2024,1,0
344,2024,2,0
344,2024,3,0
344,2024,4,0
349,2024,1,0
349,2024,2,0
349,2024,3,0
349,2024,4,0
352,2024,1,0
352,2024,2,0
352,2024,3,0
352,2024,4,0
354,2024,1,0
354,2024,2,0
354,2024,3,0
354,2024,4,0
371,2024,1,0
371,2024,2,0
371,2024,3,0
371,2024,4,0
402,2024,1,0
402,2024,2,0
402,2024,3,0
402,2024,4,0
409,2024,1,0
409,2024,2,0
409,2024,3,0
409,2024,4,0
431,2024,1,0
431,2024,2,0
431,2024,3,0
431,2024,4,0
453,2024,1,0
453,2024,2,0
453,2024,3,0
453,2024,4,0
454,2024,1,0
454,2024,2,0
454,2024,3,0
454,2024,4,0
460,2024,1,0
460,2024,2,0
460,2024,3,0
460,2024,4,0
472,2024,1,0
472,2024,2,0
472,2024,3,0
472,2024,4,0
494,2024,1,0
494,2024,2,0
494,2024,3,0
494,2024,4,0
529,2024,1,0
529,2024,2,0
529,2024,3,0
529,2024,4,0
559,2024,1,0
559,2024,2,0
559,2024,3,0
559,2024,4,0
561,2024,1,0
561,2024,2,0
561,2024,3,0
561,2024,4,0
572,2024,1,0
572,2024,2,0
572,2024,3,0
572,2024,4,0
610,2024,1,0
610,2024,2,0
610,2024,3,0
610,2024,4,0
613,2024,1,0
613,2024,2,0
613,2024,3,0
613,2024,4,0
648,2024,1,0
648,2024,2,0
648,2024,3,0
648,2024,4,0
650,2024,1,0
650,2024,2,0
650,2024,3,0
650,2024,4,0
686,2024,1,0
686,2024,2,0
686,2024,3,0
686,2024,4,0
687,2024,1,0
687,2024,2,0
687,2024,3,0
687,2024,4,0
697,2024,1,0
697,2024,2,0
697,2024,3,0
697,2024,4,0
701,2024,1,0
701,2024,2,0
701,2024,3,0
701,2024,4,0
719,2024,1,0
719,2024,2,0
719,2024,3,0
719,2024,4,0
722,2024,1,0
722,2024,2,0
722,2024,3,0
722,2024,4,0
739,2024,1,0
739,2024,2,0
739,2024,3,0
739,2024,4,0
756,2024,1,0
756,2024,2,0
756,2024,3,0
756,2024,4,0
764,2024,1,0
764,2024,2,0
764,2024,3,0
764,2024,4,0
795,2024,1,0
795,2024,2,0
795,2024,3,0
795,2024,4,0
803,2024,1,0
803,2024,2,0
803,2024,3,0
803,2024,4,0
813,2024,1,0
813,2024,2,0
813,2024,3,0
813,2024,4,0
826,2024,1,0
826,2024,2,0
826,2024,3,0
826,2024,4,0
835,2024,1,0
835,2024,2,0
835,2024,3,0
835,2024,4,0
848,2024,1,0
848,2024,2,0
848,2024,3,0
848,2024,4,0
856,2024,1,0
856,2024,2,0
856,2024,3,0
856,2024,4,0
954,2024,1,0
954,2024,2,0
954,2024,3,0
954,2024,4,0
956,2024,1,0
956,2024,2,0
956,2024,3,0
956,2024,4,0
1002,2024,1,0
1002,2024,2,0
1002,2024,3,0
1002,2024,4,0
1013,2024,1,0
1013,2024,2,0
1013,2024,3,0
1013,2024,4,0
1046,2024,1,0
1046,2024,2,0
1046,2024,3,0
1046,2024,4,0
1049,2024,1,0
1049,2024,2,0
1049,2024,3,0
1049,2024,4,0
1090,2024,1,0
1090,2024,2,0
1090,2024,3,0
1090,2024,4,0
1301,2024,1,0
1301,2024,2,0
1301,2024,3,0
1301,2024,4,0
1302,2024,1,0
1302,2024,2,0
1302,2024,3,0
1302,2024,4,0
1303,2024,1,0
1303,2024,2,0
1303,2024,3,0
1303,2024,4,0
1305,2024,1,0
1305,2024,2,0
1305,2024,3,0
1305,2024,4,0
1308,2024,1,0
1308,2024,2,0
1308,2024,3,0
1308,2024,4,0
1309,2024,1,0
1309,2024,2,0
1309,2024,3,0
1309,2024,4,0
1311,2024,1,0
1311,2024,2,0
1311,2024,3,0
1311,2024,4,0
1312,2024,1,0
1312,2024,2,0
1312,2024,3,0
1312,2024,4,0
1321,2024,1,0
1321,2024,2,0
1321,2024,3,0
1321,2024,4,0
1324,2024,1,0
1324,2024,2,0
1324,2024,3,0
1324,2024,4,0
1328,2024,1,0
1328,2024,2,0
1328,2024,3,0
1328,2024,4,0
1329,2024,1,0
1329,2024,2,0
1329,2024,3,0
1329,2024,4,0
1331,2024,1,0
1331,2024,2,0
1331,2024,3,0
1331,2024,4,0
1332,2024,1,0
1332,2024,2,0
1332,2024,3,0
1332,2024,4,0
1334,2024,1,0
1334,2024,2,0
1334,2024,3,0
1334,2024,4,0
1340,2024,1,0
1340,2024,2,0
1340,2024,3,0
1340,2024,4,0
1347,2024,1,0
1347,2024,2,0
1347,2024,3,0
1347,2024,4,0
1453,2024,1,0
1453,2024,2,0
1453,2024,3,0
1453,2024,4,0
1502,2024,1,0
1502,2024,2,0
1502,2024,3,0
1502,2024,4,0
1508,2024,1,0
1508,2024,2,0
1508,2024,3,0
1508,2024,4,0
1509,2024,1,0
1509,2024,2,0
1509,2024,3,0
1509,2024,4,0
1515,2024,1,0
1515,2024,2,0
1515,2024,3,0
1515,2024,4,0
1517,2024,1,0
1517,2024,2,0
1517,2024,3,0
1517,2024,4,0
1519,2024,1,0
1519,2024,2,0
1519,2024,3,0
1519,2024,4,0
1521,2024,1,0
1521,2024,2,0
1521,2024,3,0
1521,2024,4,0
1522,2024,1,0
1522,2024,2,0
1522,2024,3,0
1522,2024,4,0
1523,2024,1,0
1523,2024,2,0
1523,2024,3,0
1523,2024,4,0
1529,2024,1,0
1529,2024,2,0
1529,2024,3,0
1529,2024,4,0
1531,2024,1,0
1531,2024,2,0
1531,2024,3,0
1531,2024,4,0
1532,2024,1,0
1532,2024,2,0
1532,2024,3,0
1532,2024,4,0
1534,2024,1,0
1534,2024,2,0
1534,2024,3,0
1534,2024,4,0
1538,2024,1,0
1538,2024,2,0
1538,2024,3,0
1538,2024,4,0
1774,2024,1,0
1774,2024,2,0
1774,2024,3,0
1774,2024,4,0
2015,2024,1,0
2015,2024,2,0
2015,2024,3,0
2015,2024,4,0
2022,2024,1,0
2022,2024,2,0
2022,2024,3,0
2022,2024,4,0
2052,2024,1,0
2052,2024,2,0
2052,2024,3,0
2052,2024,4,0
2054,2024,1,0
2054,2024,2,0
2054,2024,3,0
2054,2024,4,0
2065,2024,1,0
2065,2024,2,0
2065,2024,3,0
2065,2024,4,0
2074,2024,1,0
2074,2024,2,0
2074,2024,3,0
2074,2024,4,0
2076,2024,1,0
2076,2024,2,0
2076,2024,3,0
2076,2024,4,0
2090,2024,1,0
2090,2024,2,0
2090,2024,3,0
2090,2024,4,0
2091,2024,1,0
2091,2024,2,0
2091,2024,3,0
2091,2024,4,0
2108,2024,1,0
2108,2024,2,0
2108,2024,3,0
2108,2024,4,0
2110,2024,1,0
2110,2024,2,0
2110,2024,3,0
2110,2024,4,0
2161,2024,1,0
2161,2024,2,0
2161,2024,3,0
2161,2024,4,0
2170,2024,1,0
2170,2024,2,0
2170,2024,3,0
2170,2024,4,0
2176,2024,1,0
2176,2024,2,0
2176,2024,3,0
2176,2024,4,0
2177,2024,1,0
2177,2024,2,0
2177,2024,3,0
2177,2024,4,0
2178,2024,1,0
2178,2024,2,0
2178,2024,3,0
2178,2024,4,0
2180,2024,1,0
2180,2024,2,0
2180,2024,3,0
2180,2024,4,0
2190,2024,1,0
2190,2024,2,0
2190,2024,3,0
2190,2024,4,0
2223,2024,1,0
2223,2024,2,0
2223,2024,3,0
2223,2024,4,0
2227,2024,1,0
2227,2024,2,0
2227,2024,3,0
2227,2024,4,0
2241,2024,1,0
2241,2024,2,0
2241,2024,3,0
2241,2024,4,0
2265,2024,1,0
2265,2024,2,0
2265,2024,3,0
2265,2024,4,0
2286,2024,1,0
2286,2024,2,0
2286,2024,3,0
