SOURCE_SWITCH_ID,SWITCH_ID,LENGTH_M,PATH,CABLETYPE,NUMBEROFCORES,ARMOURED,NEUTRALMATERIAL,CABLEID,CABLECONDUCTORMATERIAL,DIVISIONCODE,ZONECODE,REMARKS,SOURCE_SS_x,DESTINATION_SS_x,DATE_INSTALLED,SEGMENTS,SWNO,VOLTAGE,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12,Num_Faults,SWITCH_NO,SOURCE_SS_y,FAULT_FROM_SWITCH,DESTINATION_SS_y,FAULT_TO_SWITCH,FAULT_VOLTAGE,FAULT_DIVISION,FAULT_TIME_DIFFERENCE_HOURS_AVG,FAULT_LATEST_OUTAGE_TIME,IR_Measurement_MOhm,Tan_Delta,Partial_Discharge_Frequency,Partial_Discharge_Intensity,LENGTH_KM,a_raw,hist_faults,f_raw,mean_h,i_raw,s_raw,l_raw,u_raw,PRED_FAULTS_H,p_raw,c_raw,r_raw,health_score,health_band,primary_health_driver
1210,33010,302.7,POISAR REC-STN TO G.O.D.-1210 (JTNO.01 TO JTNO.02) -> POISAR REC-STN TO G.O.D.-1210 (JTNO.02 TO JTNO.03) -> POISAR REC-STN TO G.O.D.-1210 (JTNO.03 TO G.O.D.1210),XLPE,3.0,Y,AL,HT33KV6908556121,AL,3000.0,3034.0,POTHEAD,POISAR REC-STN,POISAR REC-STN,0,3,33010,33KV,79.828,77.775,73.873,74.493,79.462,70.514,20.577,37.295,64.671,55.628,55.829,54.925,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,220BOR23,220KV BORIVALI REC-STN,220BOR23,POISAR REC-STN,33010,33KV,MALAD,0.498,2018-02-18 14:27:00+00:00,0.0,0.0,0.0,0.0,0.30269999999999997,0.0,1.0,3.303600925008259,0.0,0.0,2,0.2644390337213813,0.0,0.285207062959671,0.285207062959671,0,0,86,Good,High predicted faults (p)
1213,33018,313.2,POISAR REC-STN_33018 TO G.O.D.-1213 (JTNO.01A TO JTNO.02A) -> POISAR REC-STN_33018 TO G.O.D.-1213 (JTNO.02A TO JTNO.03A) -> POISAR REC-STN_33018 TO G.O.D.-1213(JTNO.03A TO G.O.D. NO.1213),XLPE,3.0,Y,AL,HT33KV6908556118,AL,3000.0,3034.0,POTHEAD,POISAR REC-STN,POISAR REC-STN,0,3,33018,33KV,75.836,47.434,43.275,52.658,61.449,56.432,17.873,29.722,42.337,72.548,68.906,74.133,4.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1,220BOR09,220KV BORIVALI REC-STN,220BOR09,POISAR REC-STN,33018,33KV,MALAD,0.26,2018-12-13 19:37:00+00:00,0.0,0.0,0.0,0.0,0.3132,0.0,1.0,3.1928480204342273,0.0,0.0,2,0.27246690664530054,0.0,0.1054801195859909,0.1054801195859909,0,0,96,Good,Advanced cable age (a)
220AAR102,33008,7060.3,JT.NO.01 → SWNO_33008 -> JT.NO.02 → JT.NO.01 -> JT.NO.02A → JT.NO.02A -> JT.NO.02A → JT.NO.02E -> JT.NO.02B → JT.NO.02A -> JT.NO.02D → JT.NO.02 -> JT.NO.02E → JT.NO.02D -> JT.NO.03 → JT.NO.02B -> JT.NO.03A → JT.NO.03 -> JT.NO.04B → JT.NO.03 -> JT.NO.06A → JT.NO.06 -> JT.NO.07A → JT.NO.07B -> JT.NO.07B → JT.NO.06A -> JT.NO.08 → JT.NO.07A -> JT.NO.08A → JT.NO.08C -> JT.NO.08B → JT.NO.08 -> JT.NO.08C → JT.NO.08B -> JT.NO.09 → JT.NO.08A -> JT.NO.10 → JT.NO.9 -> JT.NO.11 → JT.NO.11A -> JT.NO.11A → JT.NO.11B -> JT.NO.11B → JT.NO.10 -> JT.NO.12 → JT.NO.11 -> JT.NO.13 → JT.NO.12 -> JT.NO.13A → JT.NO.13 -> JT.NO.14 → JT.NO.13A -> JT.NO.15 → JT.NO.14 -> JT.NO.15A → JT.NO.15 -> JT.NO.15B → JT.NO.15A -> JT.NO.16 → JT.NO.15B -> JT.NO.17 → JT.NO.16 -> JT.NO.18 → JT.NO.17 -> JT.NO.18A → JT.NO.18 -> JT.NO.19 → JT.NO.18A -> JT.NO.20 → JT.NO.19 -> JT.NO.20A → JT.NO.20B -> JT.NO.20B → JT.NO.20 -> JT.NO.21 → JT.NO.20A -> JT.NO.21A → JT.NO.21B -> JT.NO.21B → JT.NO.21 -> JT.NO.22 → JT.NO.21A -> JT.NO.22A → JT.NO.22 -> JT.NO.22B → JT.NO.22A -> JT.NO.23 → JT.NO.22B -> JT.NO.24 → JT.NO.23 -> JT.NO.25 → JT.NO.25A -> JT.NO.25A → JT.NO.24 -> JT.NO.26 → JT.NO.25 -> JT.NO.26A → JT.NO.26 -> JT.NO.26B → JT.NO.26A -> JT.NO.27 → JT.NO.26B -> JT.NO.27A → JT.NO.27 -> JT.NO.28 → JT.NO.27A -> JT.NO.28A → JT.NO.28 -> JT.NO.29 → JT.NO.28A -> JT.NO.29A → JT.NO.29 -> JT.NO.29B → JT.NO.29A -> JT.NO.30 → JT.NO.30A -> JT.NO.30A → JT.NO.30 -> JT.NO.30A → JT.NO.30B -> JT.NO.30B → JT.NO.29B -> JT.NO.31 → JT.NO.30A -> JT.NO.32 → JT.NO.31 -> JT.NO.32A → JT.NO.32B -> JT.NO.32B → JT.NO.32 -> JT.NO.33 → JT.NO.33A -> JT.NO.33A → JT.NO.32A -> JT.NO.5 → JT.NO.5A -> JT.NO.5A → JT.NO.4B -> JT.NO.6 → JT.NO.5 -> SWNO_220AAR102 → JT.NO.33,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,2000.0,2023.0,0,220 kV AAREY EHV STATION,VILE-PARLE REC-STN,2015-02-17 00:00:00,71,33008,33KV,61.402,64.043,54.963,64.634,73.783,69.142,19.094,35.176,55.003,55.504,45.29,60.56,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1,220AAR102,220KV AAREY REC-STN,220AAR102,VILE-PARLE REC-STN,33008,33KV,VANDRE,6.485,2021-11-09 12:11:11+00:00,0.0,0.0,0.0,0.0,7.0603,0.267866927592955,1.0,0.14163704091894114,0.0,0.0,70,2.0869507766695308,0.0,0.1418750286102295,0.1418750286102295,0,0,90,Good,Numerous joints / segments (s)
220AAR103,33035,29.564,SWNO_33035,XLPE,1.0,Y,AL,0,AL,3000.0,3033.0,0,220 kV AAREY EHV STATION,MAHANANDA REC-STN,2018-02-03 00:00:00,1,33035,33KV,48.326,58.804,57.362,58.06,50.27,46.134,17.511,28.426,65.58,54.813,42.681,44.495,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0,0.0,4.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.029564,0.18317025440313112,0.0,0.0,0.0,0.0,0,0.029135411653523735,0.0,0.0,0.0,0,0,100,Good,No recorded faults
220AAR103,33090,302.0,SWNO_220AAR103 -> SWNO_33090,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,2000.0,2023.0,0,220 kV AAREY EHV STATION,DINDOSHI REC-STN,2013-09-17 00:00:00,2,33090,33KV,114.481,113.382,105.121,109.859,111.572,108.584,39.867,63.993,94.527,105.636,98.248,91.18,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.302,0.30841487279843444,0.0,0.0,0.0,0.0,1,0.2639015437863775,0.0,0.0,0.0,0,0,100,Good,No recorded faults
220AAR103,33302,2003.7,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.1 -> JT.NO.10 → SWNO_33302,XLPE,3.0,Y,AL,0,AL,2000.0,2024.0,0,220 kV AAREY EHV STATION,SARVODAY NAGAR REC-STN,2021-06-16 00:00:00,11,33302,33KV,38.513,46.872,42.854,60.76,70.71,57.351,15.301,24.845,37.496,35.347,31.439,38.118,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1,220AAR103,220 KV AAREY EHV STATION,220AAR103,SARVODAY NAGAR REC-STN,33302,33KV,ANDHERI,1.971,2022-06-14 20:16:00+00:00,0.0,0.0,0.0,0.0,2.0037000000000003,0.08696673189823875,1.0,0.49907670809003335,0.0,0.0,10,1.0998448620706553,0.0,0.08149112015962601,0.08149112015962601,0,0,96,Good,High cyclic loading (c)
220AAR108,33246,4087.878,JT.NO.01 → JT.NO.02 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05A -> JT.NO.05 → JT.NO.06A -> JT.NO.05A → JT.NO.05 -> JT.NO.06 → JT.NO.07 -> JT.NO.06A → JT.NO.06B -> JT.NO.06B → JT.NO.06 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.09A -> JT.NO.09A → JT.NO.10 -> JT.NO.10 → JT.NO.10B -> JT.NO.10A → JT.NO.11 -> JT.NO.10B → JT.NO.10A -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17A -> JT.NO.17 → JT.NO.18 -> JT.NO.17A → JT.NO.17B -> JT.NO.17B → JT.NO.17 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.2 → JT.NO.2A -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.21A -> JT.NO.21A → SWNO_33246 -> JT.NO.2A → JT.NO.2B -> JT.NO.2B → JT.NO.2C -> JT.NO.2C → JT.NO.3 -> SWNO_220AAR108 → JT.NO.01,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,9000.0,9091.0,0,220 kV AAREY EHV STATION,J. B. NAGAR RECEIVING STATION,2018-09-25 00:00:00,34,33246,33KV,59.391,64.936,70.259,108.051,77.471,74.294,19.939,36.0,51.185,59.059,53.226,53.353,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,220AAR108 | 220AAR11,220 KV AAREY EHV STATION | 220KV AAREY REC-STN,220AAR108 | 220AAR11,J. B. NAGAR RECEIVING STATION,33246,33KV,ANDHERI,80.378,2023-03-17 18:38:00+00:00,0.0,0.0,0.0,0.0,4.087878,0.164853228962818,4.0,0.9785027831065409,14188.088888888888,7.048165597433842e-05,33,1.6268608477629232,0.0,0.205374613404274,0.205374613404274,0,0,89,Good,Numerous joints / segments (s)
220AAR109,33150,6103.711,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.16A -> JT.NO.16A → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.24A -> JT.NO.24A → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.35 -> JT.NO.35 → JT.NO.36 -> JT.NO.36 → JT.NO.37 -> JT.NO.39 → JT.NO.40 -> JT.NO.41 → JT.NO.42 -> JT.NO.43 → JT.NO.44 -> JT.NO.45 → JT.NO.46 -> JT.NO.46 → JT.NO.47 -> JT.NO.47 → JT.NO.48 -> JT.NO.48 → JT.NO.49 -> JT.NO.49 → JT.NO.50 -> JT.NO.50 → JT.NO.51 -> JT.NO.52 → JT.NO.53 -> JT.NO.53 → JT.NO.54 -> JT.NO.54 → JT.NO.55 -> JT.NO.55 → JT.NO.56 -> JT.NO.56 → SWNO_33150 -> SWNO_220AAR109 → JT.NO.01,XLPE,3.0,Y,AL,<Null>,AL,2000.0,2023.0,0,220 kV AAREY EHV STATION,HCC REC-STN,2020-10-21 00:00:00,53,33150,33KV,72.365,73.857,70.465,102.392,81.108,78.757,25.653,37.89,63.059,72.886,65.183,57.408,6.0,6.0,7.0,2.0,3.0,4.0,1.0,0.0,2.0,4.0,2.0,4.0,2,220AAR12 | 220AAR109,220KV AAREY REC-STN | 220 KV AAREY EHV STATION,220AAR12 | 220AAR109,HCC REC-STN,33150,33KV,CHEMBUR | POWAI,1.505,2022-07-06 03:54:00+00:00,0.0,0.0,0.0,0.0,6.1037110000000006,0.10559686888454012,2.0,0.32766951122030513,18283.766666666666,5.469332540887819e-05,52,1.960617323556056,0.0,0.20047372579574585,0.20047372579574585,0,0,87,Good,Numerous joints / segments (s)
220AAR112,33004,1054.2,JT.NO.01 → JT.NO.02A -> JT.NO.01 → JT.NO.02B -> JT.NO.01A → JT.NO.01 -> JT.NO.02A → JT.NO.02 -> JT.NO.02B → JT.NO.02C -> JT.NO.02C → JT.NO.03B -> JT.NO.03 → JT.NO.04 -> JT.NO.03A → JT.NO.03 -> JT.NO.03B → JT.NO.03A -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → SWNO_33004 -> SWNO_220AAR112 → JT.NO.01,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,2000.0,2023.0,0,220 kV AAREY EHV STATION,SEEPZ REC-STN,2020-10-29 00:00:00,12,33004,33KV,84.549,96.776,93.283,96.205,108.176,89.882,41.375,67.8,86.37,89.824,81.097,72.667,8.0,8.0,7.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,6.0,1,220AAR14,220KV AAREY REC-STN,220AAR14,SEEPZ REC-STN,33004,33KV,ANDHERI,0.583,2016-09-03 14:00:00+00:00,0.0,0.0,0.0,0.0,1.0542,0.1049706457925636,1.0,0.9485866059571239,0.0,0.0,11,0.7198864777495669,0.0,0.309662401676178,0.309662401676178,0,0,82,Good,High predicted faults (p)
220AAR32,33097,4272.86,JT.NO.01 → JT.NO.01A -> JT.NO.01A → SWNO_33097 -> SWNO_220AAR32 → JT.NO.01,XLPE,3.0,Y,AL,0,AL,2000.0,6063.0,0,AAREY 220KV R/S,HIRANANDANI REC-STN,2023-06-26 00:00:00,3,33097,33KV,82.53,80.743,82.06,95.482,94.795,81.382,29.748,46.901,78.488,79.775,70.538,67.827,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,220AAR32,220KV AAREY REC-STN | 220 KV AAREY EHV STATION,220AAR32 | 220AAR38,HIRANANDANI REC-STN,33097,33KV,CHEMBUR | POWAI,0.427,2025-02-20 11:08:00+00:00,0.0,0.0,0.0,0.0,4.27286,0.02904109589041096,8.0,1.872282265274313,5612.414285714286,0.00017817644049288693,2,1.662572909845022,2.0,0.4251894950866699,0.4251894950866699,0,0,58,Moderate,High predicted faults (p)
220AAR34,33036,5754.2,JT.NO.01 -> JT.NO.01 → JT.NO.01A -> JT.NO.01A → JT.NO.01B -> JT.NO.01B → JT.NO.02 -> JT.NO.02 → JT.NO.3A -> JT.NO.04 → JT.NO.4A -> JT.NO.04A → JT.NO.04D -> JT.NO.04C → JT.NO.05 -> JT.NO.05 → JT.NO.05A -> JT.NO.05A → JT.NO.05B -> JT.NO.05B → JT.NO.6 -> JT.NO.07 → JT.NO.07A -> JT.NO.08 → JT.NO.9 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.13A -> JT.NO.13 → JT.NO.14 -> JT.NO.13A → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.16A -> JT.NO.16 → JT.NO.17 -> JT.NO.16A → JT.NO.16B -> JT.NO.16B → JT.NO.17 -> JT.NO.16C → JT.NO.16D -> JT.NO.16D → JT.NO.17 -> JT.NO.17 → JT.NO.17A -> JT.NO.17 → JT.NO.18 -> JT.NO.17A → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.19 → SWNO_33036 -> JT.NO.20 → SWNO_33036 -> JT.NO.3 → JT.NO.3B -> JT.NO.3A → JT.NO.3 -> JT.NO.3B → JT.NO.4 -> JT.NO.4D → JT.NO.4C -> JT.NO.6 → JT.NO.7 -> JT.NO.7A → JT.NO.08 -> JT.NO.9 → JT.NO.10,XLPE,3.0,Y,AL,HT33KV6908561LZI,AL,2000.0,2024.0,POTHEAD,220 kV AAREY EHV STATION,MEGHAWADI REC-STN,2020-04-14 00:00:00,48,33036,33KV,77.441,78.68,76.208,92.525,82.711,88.125,29.501,42.099,80.718,69.104,60.995,67.8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8,220AAR34 | 33036,220KV AAREY REC-STN | 220 KV AAREY EHV STATION,220AAR34,MEGHAWADI REC-STN,33036,33KV,ANDHERI,18.907,2024-06-05 13:50:00+00:00,0.0,0.0,0.0,0.0,5.7542,0.12046966731898238,8.0,1.390288832504953,7676.4857142857145,0.0001302679425481154,47,1.9101645336066762,0.0,0.4751834571361542,0.4751834571361542,0,0,49,Moderate,High predicted faults (p)
220AAR35,33177,5560.84,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.18A -> JT.NO.18A → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.35 -> JT.NO.35 → JT.NO.36 -> JT.NO.36 → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → SWNO_33177 -> SWNO_220AAR35 → JT.NO.01,XLPE,3.0,Y,AL,0,AL,1000.0,1014.0,0,220 kV AAREY EHV STATION,SAMBHAJI NAGAR REC-STN,2011-03-30 00:00:00,40,33177,33KV,54.855,50.557,46.533,49.825,60.137,46.105,15.089,23.403,43.373,42.971,44.736,38.498,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,220AAR35 | 220ARY35,220KV AAREY REC-STN | 220 KV AAREY EHV STATION,220AAR35,SAMBHAJI NAGAR REC-STN,33177,33KV,VANDRE,1.628,2023-11-26 09:27:00+00:00,0.0,0.0,0.0,0.0,5.56084,0.37902152641878667,4.0,0.7193157868235734,10144.422222222222,9.857633861191372e-05,39,1.8811186435389402,1.0,0.4276767373085022,0.4276767373085022,0,0,56,Moderate,High predicted faults (p)
220AAR37,33206,4588.274,JT.NO.01 → JT.NO.01A -> JT.NO.01A → JT.NO.01B -> JT.NO.01B → JT.NO.01C -> JT.NO.01C → JT.NO.01D -> JT.NO.01D → JT.NO.01E -> JT.NO.01E → JT.NO.01F -> JT.NO.01F → JT.NO.01G -> JT.NO.01G → JT.NO.01H -> JT.NO.01H → JT.NO.01J -> JT.NO.01J → JT.NO.01K -> JT.NO.01K → JT.NO.01L -> JT.NO.01L → JT.NO.01M -> JT.NO.01M → JT.NO.01N -> JT.NO.01N → JT.NO.02 -> JT.NO.01N → JT.NO.0P -> JT.NO.02 → JT.NO.02A -> JT.NO.02A → JT.NO.02B -> JT.NO.02B → JT.NO.02C -> JT.NO.02C → JT.NO.02D -> JT.NO.02D → JT.NO.02E -> JT.NO.02E → JT.NO.02F -> JT.NO.02F → SWNO_33352 -> SWNO_220AAR37 → JT.NO.01,XLPE,3.0,Y,AL,0,AL,2000.0,2023.0,0,220 kV AAREY EHV STATION,NAHAR SHAKTI R/S,0,25,33206,33KV,117.418,120.19,120.338,114.32,120.481,100.476,40.112,71.272,110.593,110.227,98.73,103.955,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5,220AAR41 | 220SAK33 | T22SAK12,220 KV AAREY EHV STATION | 220KV SAKI REC-STN | TATA S SAKI REC-STN,220AAR41 | 220SAK33 | T22SAK12,NAHAR SHAKTI REC-STN,33206,33KV | 22KV,POWAI | CHEMBUR,104.233,2024-04-30 02:15:00+00:00,0.0,0.0,0.0,0.0,4.588274,0.0,5.0,1.0897343968559854,14567.5375,6.864578175961449e-05,24,1.7206704738361274,1.0,0.20204633474349976,0.20204633474349976,0,0,88,Good,Faults in same period last year (u)
220AAR38,33205,2882.5,JT.NO.1 → JT.NO.2 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.18A -> JT.NO.18A → JT.NO.18B -> JT.NO.18B → JT.NO.19 -> JT.NO.19 → JT.NO.19A -> JT.NO.19A → SWNO_33205 -> JT.NO.2 → JT.NO.3 -> JT.NO.3 → JT.NO.4 -> JT.NO.4 → JT.NO.5 -> JT.NO.5 → JT.NO.6 -> JT.NO.6 → JT.NO.7 -> JT.NO.7 → JT.NO.7A -> JT.NO.7A → JT.NO.8 -> JT.NO.7B → JT.NO.8A -> JT.NO.8 → JT.NO.9 -> JT.NO.8A → JT.NO.8B -> JT.NO.8B → JT.NO.8 -> JT.NO.9 → JT.NO.10 -> SWNO_220AAR38 → JT.NO.1,XLPE,3.0,Y,AL,HT33KV6908561KI6,AL,2000.0,2023.0,0,220 kV AAREY EHV STATION,SAHAR PLAZA REC-STN,2023-11-27 00:00:00,27,33205,33KV,134.533,115.859,126.808,156.481,125.098,125.732,135.08,103.23,109.894,157.272,126.356,114.833,2.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,4,220AAR38 | 220SAK27,220 KV AAREY EHV STATION | 220KV AAREY REC-STN | 220KV SAKI REC-STN,220AAR38 | 220SAK27,SAHAR PLAZA REC-STN,33205,33KV,ANDHERI,1.383,2022-12-21 14:18:00+00:00,0.0,0.0,0.0,0.0,2.8825,0.016986301369863014,4.0,1.3876843018213356,14460.78888888889,6.915252049411781e-05,26,1.356479276040705,0.0,0.10339632630348206,0.10339632630348206,0,0,95,Good,Advanced cable age (a)
220AAR41,33011,4924.232,3C 400 XLPE CABLE IS SEALED ON SWAMINARAYAN RD OPP.TATA'S POWAI R/S -> 3C 400 XLPE CABLE IS SEALED ON SWAMINARAYAN RD OPP.TATA'S POWAI REC-STN,XLPE,3.0,Y,AL,HT33KV6908545990,AL,6000.0,6063.0,POTHEAD,220 kV AAREY EHV STATION,VIKHROLI REC-STN,0,30,33011,33KV,60.587,66.034,65.579,75.082,78.859,55.323,21.309,37.778,52.009,77.837,68.169,43.741,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,6,T33POWAI OG6 | T33OG06 | T33POW06,TATA POWAI REC-STN | TATA S POWAI REC-STN | TATA`S POWAI REC-STN,33011 | T33POWAI | T33OG06 | T33POW06,VIKHROLI REC-STN,33011,22KV | 33KV,CHEMBUR | POWAI,1.244,2023-07-01 06:31:00+00:00,0.0,0.0,0.0,0.0,4.924232,0.0,6.0,1.218464117856348,9920.076666666668,0.00010080567253680498,29,1.7790510583665993,1.0,0.16108931601047516,0.16108931601047516,0,0,90,Good,Faults in same period last year (u)
220AAR41,33207,3896.514,SWNO_220AAR41 → SWNO_33207,XLPE,3.0,Y,AL,0,AL,2000.0,6063.0,0,220 kV AAREY EHV STATION,NAHAR SHAKTI REC-STN,2024-07-21 00:00:00,1,33207,22KV,36.625,40.839,28.271,46.226,39.654,43.473,9.066,15.713,29.972,30.618,40.964,26.204,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3,220AAR41 | T33SAKOG11,220 KV AAREY EHV STATION | TATA S SAKI REC-STN,220AAR41 | T33SAKOG11,NAHAR SHAKTI REC-STN,33207,33KV,POWAI,0.458,2024-11-14 04:57:00+00:00,0.0,0.0,0.0,0.0,3.8965140000000003,-0.0015655577299412916,1.0,0.2566396527768154,0.0,0.0,0,1.588523523359757,0.0,0.42476820945739746,0.42476820945739746,0,0,66,Moderate,High predicted faults (p)
