SWITCH_ID,YEAR,MONTH,YM,PRED_FAULTS
1103,2024,1,2024-01,0.07509808987379074
1103,2024,2,2024-02,0.056545440107584
1103,2024,3,2024-03,0.1184992790222168
1103,2024,4,2024-04,0.12700189650058746
1103,2024,5,2024-05,0.18481607735157013
1103,2024,6,2024-06,0.09634573012590408
1103,2024,7,2024-07,0.04894307628273964
1103,2024,8,2024-08,0.05504065006971359
1103,2024,9,2024-09,0.047625645995140076
1103,2024,10,2024-10,0.0787816122174263
1103,2024,11,2024-11,0.06998546421527863
1103,2024,12,2024-12,0.061733223497867584
1129,2024,1,2024-01,0.10693994909524918
1129,2024,2,2024-02,0.08347500115633011
1129,2024,3,2024-03,0.1301976591348648
1129,2024,4,2024-04,0.13190478086471558
1129,2024,5,2024-05,0.15989330410957336
1129,2024,6,2024-06,0.12280140072107315
1129,2024,7,2024-07,0.058890677988529205
1129,2024,8,2024-08,0.07088132947683334
1129,2024,9,2024-09,0.07326123863458633
1129,2024,10,2024-10,0.12834350764751434
1129,2024,11,2024-11,0.09893263131380081
1129,2024,12,2024-12,0.09960553050041199
1133,2024,1,2024-01,0.08895192295312881
1133,2024,2,2024-02,0.10542760044336319
1133,2024,3,2024-03,0.1800667643547058
1133,2024,4,2024-04,0.15139532089233398
1133,2024,5,2024-05,0.1793575882911682
1133,2024,6,2024-06,0.11875060200691223
1133,2024,7,2024-07,0.07543203979730606
1133,2024,8,2024-08,0.04598040133714676
1133,2024,9,2024-09,0.04279834032058716
1133,2024,10,2024-10,0.13205136358737946
1133,2024,11,2024-11,0.09199365973472595
1133,2024,12,2024-12,0.09795867651700974
1135,2024,1,2024-01,0.1031154990196228
1135,2024,2,2024-02,0.10372120887041092
1135,2024,3,2024-03,0.16659967601299286
1135,2024,4,2024-04,0.14838583767414093
1135,2024,5,2024-05,0.1942366361618042
1135,2024,6,2024-06,0.13317930698394775
1135,2024,7,2024-07,0.07914703339338303
1135,2024,8,2024-08,0.06223928555846214
1135,2024,9,2024-09,0.06270541995763779
1135,2024,10,2024-10,0.1512536257505417
1135,2024,11,2024-11,0.10132119804620743
1135,2024,12,2024-12,0.1162482276558876
1143,2024,1,2024-01,0.04848611727356911
