FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD
15454,38197-DT,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-1238,1,2025-04-04,127.4258823529412
15454,34115-DT,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL02-0894,2,2025-04-04,233.6289265536723
15454,32765-DT,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL01-0860,3,2025-04-04,134.06212290502793
15454,31556-DT,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0815,4,2025-04-04,245.58708994708996
15454,31477-DT,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0054,5,2025-04-04,364.4859903381643
15454,17732-DT,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-0003,6,2025-04-04,199.4650485436893
15454,09017-DT,1S-MH-MU-ZST-CL02-0526,1S-MH-MU-ZST-CL02-0526,1S-MH-MU-ZST-CL02-0526,6,2025-04-04,280.49463414634147
15454,38559-DT,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL02-1240,7,2025-04-04,118.43076923076924
15454,10420-DT,1S-MH-MU-ZST-CL03-0344,1S-MH-MU-ZST-CL03-0344,1S-MH-MU-ZST-CL03-0344,8,2025-04-04,295.2936585365853
15451,31554-DT,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0885,1,2025-04-04,372.35792682926825
15451,15769-DT,1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0414,2,2025-04-04,442.1289855072464
15451,29786-DT,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-0198,3,2025-04-04,536.2233009708738
15451,37303-DT,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-1121,4,2025-04-04,312.7985046728972
15451,06352-DT,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-0200,5,2025-04-04,541.4718446601942
15451,38539-DT,1S-MH-MU-ZST-CL02-1253,1S-MH-MU-ZST-CL02-1253,1S-MH-MU-ZST-CL02-1253,6,2025-04-04,133.05478260869566
15451,06000-DT,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-0013,7,2025-04-04,267.6117073170732
15451,36875-DT,1S-MH-MU-ZST-CL02-1164,1S-MH-MU-ZST-CL02-1164,1S-MH-MU-ZST-CL02-1164,8,2025-04-04,124.66341463414632
15451,32411-DT,1S-MH-MU-ZST-CL02-0842,1S-MH-MU-ZST-CL02-0842,1S-MH-MU-ZST-CL02-0842,9,2025-04-04,431.27237569060776
15451,35495-DT,1S-MH-MU-ZST-CL02-0978,1S-MH-MU-ZST-CL02-0978,1S-MH-MU-ZST-CL02-0978,10,2025-04-04,194.11523178807948
15452,37569-HTConsumer,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-1207,1,,
15452,31739-DT,1S-MH-MU-ZST-CL03-0822,1S-MH-MU-ZST-CL03-0822,1S-MH-MU-ZST-CL03-0822,2,2025-04-04,189.52677595628413
15452,29543-DT,1S-MH-MU-ZST-CL02-0746,1S-MH-MU-ZST-CL02-0746,1S-MH-MU-ZST-CL02-0746,2,2025-04-04,440.9521951219512
15452,32927-DT,1S-MH-MU-ZST-CL02-0867,1S-MH-MU-ZST-CL02-0867,1S-MH-MU-ZST-CL02-0867,3,2025-04-04,316.1922222222222
15452,29540-DT,1S-MH-MU-ZST-CL02-0745,1S-MH-MU-ZST-CL02-0745,1S-MH-MU-ZST-CL02-0745,3,2025-04-04,505.5529126213592
15452,26906-DT,1S-MH-MU-ZST-CL02-0698,1S-MH-MU-ZST-CL02-0698,1S-MH-MU-ZST-CL02-0698,4,2025-04-04,580.9298076923077
15452,02934-DT,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,5,2025-04-04,158.6059405940594
15452,01012-DT,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,5,2025-04-04,158.6059405940594
15452,06811-HTConsumer,1S-MH-MU-ZST-CL02-0298,,,5,,
15452,05953-DT,1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0005,6,2025-04-04,263.4136585365854
15452,18903-DT,1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0005,6,2025-04-04,263.4136585365854
15452,39983-DT,1S-MH-MU-ZST-CL02-0942,1S-MH-MU-ZST-CL02-0942,1S-MH-MU-ZST-CL02-0942,7,2024-10-04,18.29714285714286
15452,37630-DT,1S-MH-MU-ZST-CL02-1052,1S-MH-MU-ZST-CL02-1052,1S-MH-MU-ZST-CL02-1052,8,2025-04-04,252.9705882352941
15452,32991-DT,1S-MH-MU-ZST-CL02-0872,1S-MH-MU-ZST-CL02-0872,1S-MH-MU-ZST-CL02-0872,9,2025-04-04,189.9011235955056
15452,32888-DT,1S-MH-MU-ZST-CL02-0865,1S-MH-MU-ZST-CL02-0865,1S-MH-MU-ZST-CL02-0865,10,2025-04-04,218.5388888888889
15452,44231-DT,1S-MH-MU-ZST-CL02-0996,1S-MH-MU-ZST-CL02-0996,1S-MH-MU-ZST-CL02-0996,11,,
15452,02468-DT,1S-MH-MU-ZST-CL02-0114,1S-MH-MU-ZST-CL02-0114,1S-MH-MU-ZST-CL02-0114,12,2025-04-04,367.0062176165803
15452,25701-DT,1S-MH-MU-ZST-CL02-0657,1S-MH-MU-ZST-CL02-0657,1S-MH-MU-ZST-CL02-0657,13,2025-04-04,249.7903381642512
