FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD
15452,06811-HTConsumer,1S-MH-MU-ZST-CL02-0298,,,5,,
15455,35013-nan,1S-MH-MU-ZST-CL02-0969,,,5,,
15455,35015-nan,1S-MH-MU-ZST-CL02-0969,,,5,,
15455,43066-nan,1S-MH-MU-ZST-CL02-0031,,,6,,
29201,35758-HTConsumer,1S-MH-MU-ZET-CL11-9488,,,4,,
29207,02873-HTConsumer,1S-MH-MU-ZET-CL11-8116,,,3,,
29211,31636-HTConsumer,1S-MH-MU-ZET-CL11-8909,,,2,,
29212,12819-HTConsumer,1S-MH-MU-ZET-CL11-8060,,,2,,
10207,35756-HTConsumer,1S-MH-MU-ZSC-CL09-3211,,,2,,
10210,32414-HTConsumer,1S-MH-MU-ZSC-CL09-2765,,,5,,
10222,37313-HTConsumer,1S-MH-MU-ZSC-CL09-3455,,,2,,
10222,35794-HTConsumer,1S-MH-MU-ZSC-CL09-2019,,,4,,
10223,29461-HTConsumer,1S-MH-MU-ZSC-CL05-3075,,,1,,
19553,28863-HTConsumer,1S-MH-MU-ZSC-CL02-3061,,,1,,
19553,19425-HTConsumer,1S-MH-MU-ZSC-CL09-2892,,,3,,
19555,25248-HTConsumer,1S-MH-MU-ZSC-CL05-2945,,,1,,
28692,19512-HTConsumer,1S-MH-MU-ZSC-CL06-2263,,,10,,
28693,29465-HTConsumer,1S-MH-MU-ZSC-CL05-3075,,,1,,
4430,16721-HTConsumer,1S-MH-MU-ZSC-CL07-2343,,,4,,
4433,42194-HTConsumer,1S-MH-MU-ZST-CL04-1362,,,4,,
4433,00271-HTConsumer,1S-MH-MU-ZST-CL04-0369,,,9,,
4436,02249-HTConsumer,1S-MH-MU-ZSC-CL03-3164,,,5,,
4437,42794-HTConsumer,1S-MH-MU-ZSC-CL07-3640,,,1,,
4437,14452-HTConsumer,1S-MH-MU-ZSC-CL07-2076,,,3,,
4994,36638-HTConsumer,1S-MH-MU-ZSC-CL03-3413,,,1,,
28966,00302-HTConsumer,1S-MH-MU-ZET-CL10-8816,,,3,,
32857,28036-HTConsumer,1S-MH-MU-ZET-CL10-8644,,,1,,
32857,07726-nan,1S-MH-MU-ZET-CL10-8273,,,2,,
32857,02099-HTConsumer,1S-MH-MU-ZET-CL10-8370,,,3,,
32857,26150-HTConsumer,1S-MH-MU-ZET-CL10-9039,,,5,,
32868,02678-HTConsumer,1S-MH-MU-ZET-CL10-8643,,,1,,
14327,38681-GOD01334,1S-MH-MU-ZSC-CL10-2012,,,1,,
14327,39496-OH_01,1S-MH-MU-ZSC-CL10-2007,,,2,,
14327,02809-HTConsumer,1S-MH-MU-ZSC-CL10-2531,,,2,,
14327,OH_02-HTConsumer,,,,2,,
14327,OH_01-HTConsumer,,,,2,,
14327,GOD01334-HTConsumer,,,,2,,
14327,17175-OH_02,1S-MH-MU-ZSC-CL10-2008,,,3,,
