FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD
15454,15454-38196,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-1238,0,2025-04-04,127.42588235294119
15454,38195-34116,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL02-0894,1,2025-04-04,233.6289265536723
15454,38197-DT,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-1238,1,2025-04-04,127.42588235294119
15454,34114-32764,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL01-0860,2,2025-04-04,134.06212290502793
15454,34115-DT,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL02-0894,2,2025-04-04,233.6289265536723
15454,32766-31556,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0815,3,2025-04-04,245.58708994708994
15454,32765-DT,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL01-0860,3,2025-04-04,134.06212290502793
15454,31555-04467,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0054,4,2025-04-04,364.4859903381643
15454,31556-DT,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0815,4,2025-04-04,245.58708994708994
15454,04465-17733,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-0003,5,2025-04-04,199.46504854368933
15454,04466-35381,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0645,1S-MH-MU-ZST-CL02-0645,5,,
15454,40767-09016,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0526,1S-MH-MU-ZST-CL02-0526,5,2025-04-04,280.49463414634147
15454,31477-DT,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0054,5,2025-04-04,364.4859903381643
15454,17731-38557,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL02-1240,6,2025-04-04,118.43076923076924
15454,17732-DT,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-0003,6,2025-04-04,199.46504854368933
15454,09017-DT,1S-MH-MU-ZST-CL02-0526,1S-MH-MU-ZST-CL02-0526,1S-MH-MU-ZST-CL02-0526,6,2025-04-04,280.49463414634147
15454,38558-10421,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL03-0344,1S-MH-MU-ZST-CL03-0344,7,2025-04-04,295.2936585365853
15454,38559-DT,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL02-1240,7,2025-04-04,118.43076923076924
15454,10420-DT,1S-MH-MU-ZST-CL03-0344,1S-MH-MU-ZST-CL03-0344,1S-MH-MU-ZST-CL03-0344,8,2025-04-04,295.2936585365853
15451,15451-31551,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0885,0,2025-04-04,372.35792682926825
15451,31553-39603,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-RSTN-KHAR,1S-MH-MU-ZST-RSTN-KHAR,1,2025-04-04,102.34516129032258
15451,39786-39785,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0414,1,2025-04-04,442.12898550724634
15451,31554-DT,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0885,1,2025-04-04,372.35792682926825
15451,15770-29785,1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-0198,2,2025-04-04,536.2233009708738
15451,15769-DT,1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0414,2,2025-04-04,442.12898550724634
15451,29783-37301,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-1121,3,2025-04-04,312.7985046728972
15451,29786-DT,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-0198,3,2025-04-04,536.2233009708738
