FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,LATEST_DT_DATE,DT_LOAD
10205,ROOT-1S-MH-MU-ZSC-RSTN-AMBI,,1S-MH-MU-ZSC-RSTN-AMBI,1,2012-09-21,581.4
10205,1S-MH-MU-ZSC-RSTN-AMBI-1S-MH-MU-ZSC-CL09-2382,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2382,1.1,2025-04-04,616.32
10205,1S-MH-MU-ZSC-CL09-2382-1S-MH-MU-ZSC-CL09-2382,1S-MH-MU-ZSC-CL09-2382,1S-MH-MU-ZSC-CL09-2382,1.1.1,2025-04-04,616.32
10205,1S-MH-MU-ZSC-CL09-2382-1S-MH-MU-ZSC-CL09-2383,1S-MH-MU-ZSC-CL09-2382,1S-MH-MU-ZSC-CL09-2383,1.1.2,2025-04-04,674.0804878048781
10205,1S-MH-MU-ZSC-RSTN-AMBI-1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2723,1.2,2025-03-06,473.4425742574257
10205,1S-MH-MU-ZSC-CL09-2723-1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2074,1.2.1,2025-01-03,207.0808743169399
10205,1S-MH-MU-ZSC-CL09-2074-1S-MH-MU-ZSC-CL06-3404,1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL06-3404,1.2.1.1,,
10205,1S-MH-MU-ZSC-CL06-3404-1S-MH-MU-ZSC-CL06-3489,1S-MH-MU-ZSC-CL06-3404,1S-MH-MU-ZSC-CL06-3489,1.2.1.1.1,2025-04-04,203.07042253521126
10205,1S-MH-MU-ZSC-CL06-3489-1S-MH-MU-ZSC-CL06-2088,1S-MH-MU-ZSC-CL06-3489,1S-MH-MU-ZSC-CL06-2088,1.2.1.1.1.1,2025-04-04,508.62787286063565
10205,1S-MH-MU-ZSC-CL06-3489-1S-MH-MU-ZSC-CL06-3489,1S-MH-MU-ZSC-CL06-3489,1S-MH-MU-ZSC-CL06-3489,1.2.1.1.1.2,2025-04-04,203.07042253521126
10205,1S-MH-MU-ZSC-CL09-2074-1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL09-2074,1.2.1.2,2025-01-03,207.0808743169399
10205,1S-MH-MU-ZSC-CL09-2074-1S-MH-MU-ZSC-CL09-3373,1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL09-3373,1.2.1.3,2025-04-04,50.303999999999995
10205,1S-MH-MU-ZSC-CL09-3373-1S-MH-MU-ZSC-CL09-3058,1S-MH-MU-ZSC-CL09-3373,1S-MH-MU-ZSC-CL09-3058,1.2.1.3.1,2025-03-06,126.29810945273631
10205,1S-MH-MU-ZSC-CL09-3058-1S-MH-MU-ZSC-CL08-3241,1S-MH-MU-ZSC-CL09-3058,1S-MH-MU-ZSC-CL08-3241,1.2.1.3.1.1,2025-04-04,103.74257668711657
10205,1S-MH-MU-ZSC-CL08-3241-1S-MH-MU-ZSC-CL08-3241,1S-MH-MU-ZSC-CL08-3241,1S-MH-MU-ZSC-CL08-3241,1.2.1.3.1.1.1,2025-04-04,103.74257668711657
10205,1S-MH-MU-ZSC-CL08-3241-1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL08-3241,1S-MH-MU-ZSC-CL09-2185,1.2.1.3.1.1.2,2025-03-06,225.7628717948718
10205,1S-MH-MU-ZSC-CL09-3058-1S-MH-MU-ZSC-CL09-3058,1S-MH-MU-ZSC-CL09-3058,1S-MH-MU-ZSC-CL09-3058,1.2.1.3.1.2,2025-03-06,126.29810945273631
10205,1S-MH-MU-ZSC-CL09-3373-1S-MH-MU-ZSC-CL09-3373,1S-MH-MU-ZSC-CL09-3373,1S-MH-MU-ZSC-CL09-3373,1.2.1.3.2,2025-04-04,50.303999999999995
10205,1S-MH-MU-ZSC-CL09-2723-1S-MH-MU-ZSC-CL09-2366,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2366,1.2.2,2025-03-06,148.85536723163844
10205,1S-MH-MU-ZSC-CL09-2366-1S-MH-MU-ZSC-CL09-2348,1S-MH-MU-ZSC-CL09-2366,1S-MH-MU-ZSC-CL09-2348,1.2.2.1,2025-03-06,400.69850746268656
10205,1S-MH-MU-ZSC-CL09-2348-1S-MH-MU-ZSC-CL09-2019,1S-MH-MU-ZSC-CL09-2348,1S-MH-MU-ZSC-CL09-2019,1.2.2.1.1,2025-03-06,212.9743842364532
10205,1S-MH-MU-ZSC-CL09-2348-1S-MH-MU-ZSC-CL09-2348,1S-MH-MU-ZSC-CL09-2348,1S-MH-MU-ZSC-CL09-2348,1.2.2.1.2,2025-03-06,400.69850746268656
10205,1S-MH-MU-ZSC-CL09-2366-1S-MH-MU-ZSC-CL09-2366,1S-MH-MU-ZSC-CL09-2366,1S-MH-MU-ZSC-CL09-2366,1.2.2.2,2025-03-06,148.85536723163844
10205,1S-MH-MU-ZSC-CL09-2723-1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2723,1.2.3,2025-03-06,473.4425742574257
10206,ROOT-1S-MH-MU-ZSC-CL07-3458,,1S-MH-MU-ZSC-CL07-3458,1,2025-04-04,184.1978021978022
10206,1S-MH-MU-ZSC-CL07-3458-1S-MH-MU-ZSC-CL08-3243,1S-MH-MU-ZSC-CL07-3458,1S-MH-MU-ZSC-CL08-3243,1.1,2025-04-04,130.52477987421383
10206,1S-MH-MU-ZSC-CL08-3243-1S-MH-MU-ZSC-CL08-3243,1S-MH-MU-ZSC-CL08-3243,1S-MH-MU-ZSC-CL08-3243,1.1.1,2025-04-04,130.52477987421383
10206,1S-MH-MU-ZSC-CL08-3243-1S-MH-MU-ZSC-CL09-2139,1S-MH-MU-ZSC-CL08-3243,1S-MH-MU-ZSC-CL09-2139,1.1.2,2025-04-04,254.78530612244896
10206,1S-MH-MU-ZSC-CL09-2139-1S-MH-MU-ZSC-CL09-2139,1S-MH-MU-ZSC-CL09-2139,1S-MH-MU-ZSC-CL09-2139,1.1.2.1,2025-04-04,254.78530612244896
10206,ROOT-1S-MH-MU-ZSC-RSTN-AMBI,,1S-MH-MU-ZSC-RSTN-AMBI,2,2012-09-21,581.4
10206,1S-MH-MU-ZSC-RSTN-AMBI-1S-MH-MU-ZSC-CL09-2298,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2298,2.1,2025-04-04,335.92400000000004
10206,1S-MH-MU-ZSC-CL09-2298-1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL09-2298,1S-MH-MU-ZSC-CL09-2185,2.1.1,2025-03-06,225.7628717948718
10206,1S-MH-MU-ZSC-CL09-2185-1S-MH-MU-ZSC-CL08-3291,1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL08-3291,2.1.1.1,2025-04-04,105.8
10206,1S-MH-MU-ZSC-CL08-3291-1S-MH-MU-ZSC-CL08-3291,1S-MH-MU-ZSC-CL08-3291,1S-MH-MU-ZSC-CL08-3291,2.1.1.1.1,2025-04-04,105.8
10206,1S-MH-MU-ZSC-CL08-3291-1S-MH-MU-ZSC-CL09-3085,1S-MH-MU-ZSC-CL08-3291,1S-MH-MU-ZSC-CL09-3085,2.1.1.1.2,2025-03-06,115.45306122448979
10206,1S-MH-MU-ZSC-CL09-3085-1S-MH-MU-ZSC-CL09-3085,1S-MH-MU-ZSC-CL09-3085,1S-MH-MU-ZSC-CL09-3085,2.1.1.1.2.1,2025-03-06,115.45306122448979
10206,1S-MH-MU-ZSC-CL09-3085-1S-MH-MU-ZSC-CL09-3112,1S-MH-MU-ZSC-CL09-3085,1S-MH-MU-ZSC-CL09-3112,2.1.1.1.2.2,2025-03-06,92.78115183246074
10206,1S-MH-MU-ZSC-CL09-3112-1S-MH-MU-ZSC-CL09-3112,1S-MH-MU-ZSC-CL09-3112,1S-MH-MU-ZSC-CL09-3112,2.1.1.1.2.2.1,2025-03-06,92.78115183246074
10206,1S-MH-MU-ZSC-CL09-3112-1S-MH-MU-ZSC-CL09-3113,1S-MH-MU-ZSC-CL09-3112,1S-MH-MU-ZSC-CL09-3113,2.1.1.1.2.2.2,2025-04-04,86.8979411764706
10206,1S-MH-MU-ZSC-CL09-3113-1S-MH-MU-ZSC-CL09-2075,1S-MH-MU-ZSC-CL09-3113,1S-MH-MU-ZSC-CL09-2075,2.1.1.1.2.2.2.1,2025-03-06,69.71960199004975
