LOCATION,DT_LOAD_2023_01,DT_LOAD_2023_02,DT_LOAD_2023_03,DT_LOAD_2023_04,DT_LOAD_2023_05,DT_LOAD_2023_06,DT_LOAD_2023_07,DT_LOAD_2023_08,DT_LOAD_2023_09,DT_LOAD_2023_10,DT_LOAD_2023_11,DT_LOAD_2023_12,DT_LOAD_2024_01,DT_LOAD_2024_02,DT_LOAD_2024_03,DT_LOAD_2024_04,DT_LOAD_2024_05,DT_LOAD_2024_06,DT_LOAD_2024_07,DT_LOAD_2024_08,DT_LOAD_2024_09,DT_LOAD_2024_10,DT_LOAD_2024_11,DT_LOAD_2024_12
1S-MH-MU-ZCS-CL07-3255,36.4,36.0,38.0,38.0,37.2,42.0,33.6,35.8,38.0,31.0,33.15,35.3,39.2,35.6,33.6,32.2,35.1,38.0,43.0,44.2,32.6,33.2,34.0,34.8
1S-MH-MU-ZCT-CL01-4003,219.07999999999998,229.64,219.72,249.2,250.44,276.44,245.28,131.2,116.8,180.56,193.05,205.54,233.16,151.32,150.08,152.42000000000002,166.23000000000002,180.04000000000002,174.92000000000002,168.6,152.36,157.12,151.32,182.07999999999998
1S-MH-MU-ZCT-CL01-4004,135.84,93.36,75.84,94.32,101.76,124.08,120.96,118.08,102.96,102.48,106.08000000000001,109.68,117.12,109.68,97.2,105.24000000000001,117.54,129.84,135.84,128.64,117.84,109.44,109.92,121.92
1S-MH-MU-ZCT-CL01-4063,137.2,146.4,134.0,144.4,175.2,223.6,211.6,227.2,150.8,152.0,164.5,177.0,171.6,152.8,156.4,157.2,189.8,222.4,230.4,160.8,150.8,160.4,166.4,198.4
1S-MH-MU-ZCT-CL01-4072,451.2,492.0,485.4,481.8,533.4,538.2,535.2,524.4,497.4,502.8,505.65,508.5,483.6,463.8,480.0,474.9,496.65,518.4,471.0,450.0,435.0,454.2,453.0,472.8
1S-MH-MU-ZCT-CL01-4073,358.52,351.8,343.52,354.48,361.4,360.84000000000003,362.72,357.52,362.6,347.48,351.77,356.06,329.72,328.28,317.52,322.22,319.07,315.91999999999996,322.08,322.4,333.79999999999995,328.24,324.32,358.08000000000004
1S-MH-MU-ZCT-CL01-4077,254.4,270.4,185.6,267.6,215.6,221.6,236.8,236.8,165.2,196.4,196.7,197.0,199.2,188.0,188.0,196.0,224.4,252.8,233.6,238.4,208.0,264.0,230.4,255.6
1S-MH-MU-ZCT-CL01-4085,280.1,277.5,235.60000000000002,249.7,285.1,358.6,379.4,394.3,313.3,293.0,320.0,347.0,321.8,305.8,283.6,313.85,361.325,408.79999999999995,402.5,391.3,332.5,384.7,342.9,422.0
1S-MH-MU-ZCT-CL01-4092,93.36,286.08,270.48,281.52,287.52,262.56,290.16,301.92,290.88,296.16,305.58000000000004,315.0,284.16,301.92,327.12,350.64,348.96,347.28,355.44,336.24,336.24,336.24,336.24,336.24
1S-MH-MU-ZCT-CL01-4096,34.4,35.6,32.8,38.0,37.6,41.2,58.0,55.2,59.6,56.4,56.7,57.0,60.8,80.4,64.4,54.2,53.900000000000006,53.6,53.6,48.0,59.6,59.6,59.6,59.6
1S-MH-MU-ZCT-CL01-4101,261.6,253.2,217.2,232.8,325.2,389.6,421.2,452.8,227.2,218.8,238.1,257.4,236.4,201.6,192.0,204.8,248.6,292.4,308.8,272.4,250.8,226.4,200.8,329.2
1S-MH-MU-ZCT-CL01-4102,231.6,216.2,190.60000000000002,234.0,293.5,353.9,403.5,416.1,264.4,261.4,296.375,331.35,332.9,263.6,265.0,278.5333333333333,344.46666666666664,410.4,429.4,458.0,359.8,330.1,348.3,368.0
1S-MH-MU-ZCT-CL01-4105,293.4,298.5,262.5,292.0,321.5,351.0,350.4,384.9,398.7,419.1,477.6,536.1,594.9,534.0,500.1,525.6,565.05,604.5,656.7,672.0,623.1,634.8,616.8,729.6
1S-MH-MU-ZCT-CL01-4106,763.8,826.8,702.6,727.8,835.8,864.6,870.6,952.2,862.2,845.4,874.2,903.0,856.8,782.4,750.6,803.7,895.95,988.2,1018.2,1071.0,988.8,987.0,984.6,1028.4
1S-MH-MU-ZCT-CL01-4107,1089.0,1095.0,922.0,999.0,1143.0,1316.0,1367.0,1420.0,1285.0,1281.0,1321.5,1362.0,1287.0,1156.0,1173.0,1238.0,1327.5,1417.0,1367.0,1513.0,1320.0,1336.0,1296.0,1322.0
1S-MH-MU-ZCT-CL01-4158,612.0,606.6,546.0,606.6,641.4,671.4,661.8,669.0,588.6,604.8,619.5,634.2,672.6,595.2,561.6,612.0,648.3,684.6,678.6,693.6,607.8,637.8,637.8,637.8
