DESTINATION_LOCATION,FEEDER_ID,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
1S-MH-MU-ZSC-CL09-2382,10205,2.945,3.058,2.427,6.149,3.201,2.176,0.0,0.685,5.148,3.122,1.913,1.487,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-2383,10205,1.683,1.768,1.358,3.362,1.734,1.171,0.0,0.377,2.818,1.783,1.055,0.794,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-2723,10205,5.925,6.074,4.699,12.496,6.778,4.757,0.0,1.456,10.369,6.977,4.062,3.165,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-2366,10205,1.283,1.315,1.078,2.992,1.501,0.99,0.0,0.326,2.646,1.622,0.971,0.724,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-2348,10205,1.267,1.297,1.064,2.949,1.482,0.979,0.0,0.278,2.271,1.478,0.893,0.669,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-2019,10205,0.201,0.207,0.153,0.436,0.222,0.148,0.0,0.045,0.319,0.208,0.121,0.112,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-2074,10205,3.491,3.612,2.852,7.245,3.993,2.835,0.0,0.864,6.351,4.464,2.44,1.903,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL06-3404,10205,1.929,1.903,1.417,3.445,1.882,1.328,0.0,0.42,3.393,2.455,1.228,1.086,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL06-3489,10205,1.929,1.903,1.417,3.445,1.882,1.328,0.0,0.42,3.393,2.455,1.228,1.086,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL06-2088,10205,1.228,1.216,0.885,2.18,1.196,0.846,0.0,0.254,2.218,1.703,0.894,0.757,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-3373,10205,1.28,1.401,1.155,3.13,1.794,1.309,0.0,0.382,2.555,1.685,1.013,0.675,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-3058,10205,1.159,1.271,1.04,2.871,1.505,1.029,0.0,0.329,2.159,1.402,0.834,0.52,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL08-3241,10205,1.015,1.12,0.93,2.576,1.327,0.894,0.0,0.291,1.935,1.247,0.738,0.449,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-2185,10205,0.732,0.859,0.711,1.925,0.978,0.653,0.0,0.213,1.359,0.873,0.533,0.278,1,1,1,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZSC-CL09-2298,10206,11.417,6.224,7.38,19.43,13.603,6.087,0.0,3.898,23.38,14.989,11.942,6.022,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL09-2185,10206,10.15,5.458,6.509,17.281,12.109,5.422,0.0,3.463,20.701,13.205,10.444,5.312,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL08-3291,10206,3.288,1.702,2.076,5.756,4.268,1.995,0.0,1.235,7.226,4.3,3.509,1.997,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL09-3085,10206,2.782,1.436,1.737,4.876,3.642,1.711,0.0,1.052,6.237,3.634,2.963,1.676,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL09-3112,10206,1.854,0.968,1.2,3.447,2.582,1.215,0.0,0.72,4.151,2.256,1.843,1.109,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL09-3113,10206,1.122,0.624,0.777,2.333,1.746,0.822,0.0,0.454,2.792,1.267,1.093,0.685,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL09-2075,10206,0.42,0.212,0.263,1.071,0.965,0.508,0.0,0.257,1.406,0.338,0.315,0.255,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL09-2027,10206,5.572,2.953,3.45,8.83,6.003,2.622,0.0,1.677,10.529,7.049,5.397,2.778,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL07-2739,10206,3.834,1.955,2.327,6.325,4.296,1.875,0.0,1.208,7.524,5.116,4.169,2.12,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL07-3317,10206,3.169,1.617,1.907,5.273,3.591,1.571,0.0,1.019,6.404,4.091,3.314,1.71,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL07-2297,10206,2.507,1.302,1.496,4.171,2.875,1.27,0.0,0.825,5.214,3.328,2.869,1.493,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL09-3297,10206,0.784,0.448,0.486,1.312,0.889,0.387,0.0,0.238,1.529,0.94,0.862,0.467,1,0,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZSC-CL05-3321,10207,3.851,3.202,1.906,11.409,8.853,13.247,0.0,2.129,8.567,8.796,4.194,1.528,1,0,0,2,2,2,0,1,0,2,1,0
1S-MH-MU-ZSC-CL09-3211,10207,3.695,3.071,1.829,10.92,8.508,12.765,0.0,2.048,8.247,8.469,4.011,1.466,1,0,0,2,2,2,0,1,0,2,1,0
1S-MH-MU-ZSC-CL09-2281,10207,3.695,3.071,1.829,10.92,8.508,12.765,0.0,2.048,8.247,8.469,4.011,1.466,1,0,0,2,2,2,0,1,0,2,1,0
