FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL,SUM_DT_LOAD_CAL,FRACTION,feeder_Month_01,feeder_Month_02,feeder_Month_03,feeder_Month_04,feeder_Month_05,feeder_Month_06,feeder_Month_07,feeder_Month_08,feeder_Month_09,feeder_Month_10,feeder_Month_11,feeder_Month_12,node_load_Month_01,node_load_Month_02,node_load_Month_03,node_load_Month_04,node_load_Month_05,node_load_Month_06,node_load_Month_07,node_load_Month_08,node_load_Month_09,node_load_Month_10,node_load_Month_11,node_load_Month_12,sec_cum_Month_01,sec_cum_Month_02,sec_cum_Month_03,sec_cum_Month_04,sec_cum_Month_05,sec_cum_Month_06,sec_cum_Month_07,sec_cum_Month_08,sec_cum_Month_09,sec_cum_Month_10,sec_cum_Month_11,sec_cum_Month_12
10205,10205-18556,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2382,1S-MH-MU-ZSC-CL09-2382,1,2025-04-04,616.32,34.0509586513828,218.3238381015507,0.1559653721163715,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,8,8,9,12,12,12,11,11,9,10,7,7,16.0,33.0,52.0,77.0,102.0,127.0,149.0,171.0,190.0,211.0,225.0,239.0
10205,18558-18559,1S-MH-MU-ZSC-CL09-2382,1S-MH-MU-ZSC-CL09-2383,1S-MH-MU-ZSC-CL09-2383,2,2025-04-04,674.0804878048781,37.242157999006764,218.3238381015507,0.17058218801413716,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,8,9,10,13,13,13,11,11,10,11,7,7,8.0,17.0,27.0,40.0,53.0,66.0,77.0,88.0,98.0,109.0,116.0,123.0
10205,10205-10634,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2723,2,2025-03-06,473.4425742574257,26.15714810462719,218.3238381015507,0.11980894222123609,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,6,6,7,10,9,9,8,8,7,8,5,5,36.0,74.0,114.0,169.0,222.0,275.0,324.0,373.0,414.0,461.0,496.0,531.0
10205,16951-4853,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2366,1S-MH-MU-ZSC-CL09-2366,2.1,2025-03-06,148.85536723163844,8.224084817369096,218.3238381015507,0.037669202267980297,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,2,2,2,3,3,3,3,3,3,3,2,2,10.0,21.0,32.0,48.0,63.0,78.0,92.0,106.0,118.0,132.0,142.0,152.0
10205,4855-6089,1S-MH-MU-ZSC-CL09-2366,1S-MH-MU-ZSC-CL09-2348,1S-MH-MU-ZSC-CL09-2348,2.2,2025-03-06,400.69850746268656,22.138123554781185,218.3238381015507,0.10140039561087189,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,5,6,6,8,8,8,7,7,6,7,5,5,8.0,17.0,26.0,39.0,51.0,63.0,74.0,85.0,94.0,105.0,113.0,121.0
10205,6088-25212,1S-MH-MU-ZSC-CL09-2348,1S-MH-MU-ZSC-CL09-2019,1S-MH-MU-ZSC-CL09-2019,2.3,2025-03-06,212.9743842364532,11.766585461187661,218.3238381015507,0.05389510171452087,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,3,3,3,5,4,4,4,4,3,4,3,3,3.0,6.0,9.0,14.0,18.0,22.0,26.0,30.0,33.0,37.0,40.0,43.0
10205,10632-573,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL09-2074,3,2025-01-03,207.0808743169399,11.440975935972089,218.3238381015507,0.05240369551697995,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,3,3,3,4,4,4,4,4,3,4,3,3,20.0,41.0,63.0,92.0,121.0,150.0,177.0,204.0,226.0,251.0,271.0,291.0
10205,572-39962,1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL06-3404,1S-MH-MU-ZSC-CL06-3404,3.1,,,,,,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,,,,,,,,,,,,,9.0,19.0,29.0,43.0,57.0,71.0,84.0,97.0,107.0,119.0,128.0,137.0
10205,39964-39632,1S-MH-MU-ZSC-CL06-3404,1S-MH-MU-ZSC-CL06-3489,1S-MH-MU-ZSC-CL06-3489,3.2,2025-04-04,203.0704225352113,11.219403168914383,218.3238381015507,0.051388814279161824,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,3,3,3,4,4,4,4,4,3,4,3,3,9.0,19.0,29.0,43.0,57.0,71.0,84.0,97.0,107.0,119.0,128.0,137.0
10205,39633-5821,1S-MH-MU-ZSC-CL06-3489,1S-MH-MU-ZSC-CL06-2088,1S-MH-MU-ZSC-CL06-2088,3.3,2025-04-04,509.0162162162162,28.122550187016003,218.3238381015507,0.1288111753235812,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,6,7,7,10,10,10,9,9,7,8,6,6,6.0,13.0,20.0,30.0,40.0,50.0,59.0,68.0,75.0,83.0,89.0,95.0
