month,missing_days_count,missing_doys,missing_dates,expected_days,coverage_%
2024-01,1,15,2024-01-15,31,96.77
2024-02,0,,,29,100.0
2024-03,0,,,31,100.0
2024-04,1,110,2024-04-19,30,96.67
2024-05,1,149,2024-05-28,31,96.77
2024-06,0,,,30,100.0
2024-07,0,,,31,100.0
2024-08,13,"232,233,234,235,236,237,238,239,240,241,242,243,244","2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31",31,58.06
2024-09,17,"245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,261,263","2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-17,2024-09-19",30,43.33
2024-10,1,278,2024-10-04,31,96.77
2024-11,1,316,2024-11-11,30,96.67
2024-12,0,,,25,100.0
