SOURCE_SWITCH_ID,DESTINATION_SWITCH_ID,MEASUREDLENGTH,PATH,CABLETYPE,NUMBEROFCORES,ARMOURED,NEUTRALMATERIAL,CABLEID,CABLECONDUCTORMATERIAL,DIVISIONCODE,ZONECODE,REMARKS,SOURCE_SS,DESTINATION_SS,NO_OF_SEGMENT,SWNO,COMMISSIONEDDATE,VOLTAGE,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
1210,33010,302.700,POISAR REC-STN TO G.O.D.-1210 (JTNO.01 TO JTNO.02) -> POISAR REC-STN TO G.O.D.-1210 (JTNO.02 TO JTNO.03) -> POISAR REC-STN TO G.O.D.-1210 (JTNO.03 TO G.O.D.1210),XLPE,3.0,Y,AL,HT33KV6908556121,AL,3000.0,3034,POTHEAD,POISAR REC-STN,POISAR REC-STN,3,33010,2018-02-22,33KV,83.244,80.658,74.892,75.206,79.860,70.447,16.527,32.021,64.090,48.754,52.109,44.795,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1213,33018,313.200,POISAR REC-STN_33018 TO G.O.D.-1213 (JTNO.01A TO JTNO.02A) -> POISAR REC-STN_33018 TO G.O.D.-1213 (JTNO.02A TO JTNO.03A) -> POISAR REC-STN_33018 TO G.O.D.-1213(JTNO.03A TO G.O.D. NO.1213),XLPE,3.0,Y,AL,HT33KV6908556118,AL,3000.0,3034,POTHEAD,POISAR REC-STN,POISAR REC-STN,3,33018,2016-04-15,33KV,63.964,56.655,52.979,57.162,63.820,57.194,14.655,26.077,41.346,76.277,70.468,74.761,3.000,2.000,2.000,2.000,2.000,1.000,2.000,2.000,3.000,1.000,1.000,2.000
220AAR102,33008,7060.300,JT.NO.01 → SWNO_33008 -> JT.NO.02 → JT.NO.01 -> JT.NO.02A → JT.NO.02A -> JT.NO.02A → JT.NO.02E -> JT.NO.02B → JT.NO.02A -> JT.NO.02D → JT.NO.02 -> JT.NO.02E → JT.NO.02D -> JT.NO.03 → JT.NO.02B -> JT.NO.03A → JT.NO.03 -> JT.NO.04B → JT.NO.03 -> JT.NO.06A → JT.NO.06 -> JT.NO.07A → JT.NO.07B -> JT.NO.07B → JT.NO.06A -> JT.NO.08 → JT.NO.07A -> JT.NO.08A → JT.NO.08C -> JT.NO.08B → JT.NO.08 -> JT.NO.08C → JT.NO.08B -> JT.NO.09 → JT.NO.08A -> JT.NO.10 → JT.NO.9 -> JT.NO.11 → JT.NO.11A -> JT.NO.11A → JT.NO.11B -> JT.NO.11B → JT.NO.10 -> JT.NO.12 → JT.NO.11 -> JT.NO.13 → JT.NO.12 -> JT.NO.13A → JT.NO.13 -> JT.NO.14 → JT.NO.13A -> JT.NO.15 → JT.NO.14 -> JT.NO.15A → JT.NO.15 -> JT.NO.15B → JT.NO.15A -> JT.NO.16 → JT.NO.15B -> JT.NO.17 → JT.NO.16 -> JT.NO.18 → JT.NO.17 -> JT.NO.18A → JT.NO.18 -> JT.NO.19 → JT.NO.18A -> JT.NO.20 → JT.NO.19 -> JT.NO.20A → JT.NO.20B -> JT.NO.20B → JT.NO.20 -> JT.NO.21 → JT.NO.20A -> JT.NO.21A → JT.NO.21B -> JT.NO.21B → JT.NO.21 -> JT.NO.22 → JT.NO.21A -> JT.NO.22A → JT.NO.22 -> JT.NO.22B → JT.NO.22A -> JT.NO.23 → JT.NO.22B -> JT.NO.24 → JT.NO.23 -> JT.NO.25 → JT.NO.25A -> JT.NO.25A → JT.NO.24 -> JT.NO.26 → JT.NO.25 -> JT.NO.26A → JT.NO.26 -> JT.NO.26B → JT.NO.26A -> JT.NO.27 → JT.NO.26B -> JT.NO.27A → JT.NO.27 -> JT.NO.28 → JT.NO.27A -> JT.NO.28A → JT.NO.28 -> JT.NO.29 → JT.NO.28A -> JT.NO.29A → JT.NO.29 -> JT.NO.29B → JT.NO.29A -> JT.NO.30 → JT.NO.30A -> JT.NO.30A → JT.NO.30 -> JT.NO.30A → JT.NO.30B -> JT.NO.30B → JT.NO.29B -> JT.NO.31 → JT.NO.30A -> JT.NO.32 → JT.NO.31 -> JT.NO.32A → JT.NO.32B -> JT.NO.32B → JT.NO.32 -> JT.NO.33 → JT.NO.33A -> JT.NO.33A → JT.NO.32A -> JT.NO.5 → JT.NO.5A -> JT.NO.5A → JT.NO.4B -> JT.NO.6 → JT.NO.5 -> SWNO_220AAR102 → JT.NO.33,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,2000.0,2023,,220 kV AAREY EHV STATION,VILE-PARLE REC-STN,71,33008,2014-12-13,33KV,73.581,73.525,60.900,66.757,76.615,70.704,14.011,31.595,54.439,50.485,45.510,59.780,3.000,2.000,0.000,0.000,3.000,1.000,0.000,0.000,1.000,1.000,0.000,2.000
220AAR103,33035,29.564,SWNO_33035,XLPE,1.0,Y,AL,,AL,3000.0,3033,,220 kV AAREY EHV STATION,MAHANANDA REC-STN,1,33035,2018-03-02,33KV,57.481,71.014,68.409,62.567,51.846,46.636,15.259,26.785,70.685,55.896,41.113,43.687,1.000,0.000,1.000,1.000,0.000,1.000,1.000,2.000,3.000,3.000,0.000,4.000
220AAR103,33090,302.000,SWNO_220AAR103 -> SWNO_33090,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,2000.0,2023,,220 kV AAREY EHV STATION,DINDOSHI REC-STN,2,33090,2013-09-17,33KV,113.231,116.057,105.080,109.029,111.800,109.106,30.364,56.429,94.491,100.801,97.558,86.511,1.000,1.000,2.000,0.000,0.000,0.000,1.000,2.000,0.000,1.000,0.000,1.000
220AAR103,33302,2003.700,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.1 -> JT.NO.10 → SWNO_33302,XLPE,3.0,Y,AL,,AL,2000.0,2024,,220 kV AAREY EHV STATION,SARVODAY NAGAR REC-STN,11,33302,2021-06-16,33KV,44.084,55.766,44.622,65.339,75.503,59.819,13.590,23.080,37.515,34.834,30.182,36.953,1.000,1.000,1.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,1.000,2.000
220AAR108,33246,4087.878,JT.NO.01 → JT.NO.02 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05A -> JT.NO.05 → JT.NO.06A -> JT.NO.05A → JT.NO.05 -> JT.NO.06 → JT.NO.07 -> JT.NO.06A → JT.NO.06B -> JT.NO.06B → JT.NO.06 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.09A -> JT.NO.09A → JT.NO.10 -> JT.NO.10 → JT.NO.10B -> JT.NO.10A → JT.NO.11 -> JT.NO.10B → JT.NO.10A -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17A -> JT.NO.17 → JT.NO.18 -> JT.NO.17A → JT.NO.17B -> JT.NO.17B → JT.NO.17 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.2 → JT.NO.2A -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.21A -> JT.NO.21A → SWNO_33246 -> JT.NO.2A → JT.NO.2B -> JT.NO.2B → JT.NO.2C -> JT.NO.2C → JT.NO.3 -> SWNO_220AAR108 → JT.NO.01,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,9000.0,9091,,220 kV AAREY EHV STATION,J. B. NAGAR RECEIVING STATION,34,33246,2017-11-14,33KV,64.435,69.259,69.677,119.241,80.133,76.533,15.933,33.765,50.609,57.600,51.143,49.600,0.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
220AAR109,33150,6103.711,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.16A -> JT.NO.16A → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.24A -> JT.NO.24A → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.35 -> JT.NO.35 → JT.NO.36 -> JT.NO.36 → JT.NO.37 -> JT.NO.39 → JT.NO.40 -> JT.NO.41 → JT.NO.42 -> JT.NO.43 → JT.NO.44 -> JT.NO.45 → JT.NO.46 -> JT.NO.46 → JT.NO.47 -> JT.NO.47 → JT.NO.48 -> JT.NO.48 → JT.NO.49 -> JT.NO.49 → JT.NO.50 -> JT.NO.50 → JT.NO.51 -> JT.NO.52 → JT.NO.53 -> JT.NO.53 → JT.NO.54 -> JT.NO.54 → JT.NO.55 -> JT.NO.55 → JT.NO.56 -> JT.NO.56 → SWNO_33150 -> SWNO_220AAR109 → JT.NO.01,XLPE,3.0,Y,AL,<Null>,AL,2000.0,2023,,220 kV AAREY EHV STATION,HCC REC-STN,53,33150,2020-10-21,33KV,75.316,76.434,67.152,113.657,84.166,81.125,20.901,33.557,64.653,71.448,62.707,54.558,4.000,3.000,3.000,2.000,2.000,2.000,1.000,0.000,1.000,4.000,1.000,3.000
220AAR112,33004,1054.200,JT.NO.01 → JT.NO.02A -> JT.NO.01 → JT.NO.02B -> JT.NO.01A → JT.NO.01 -> JT.NO.02A → JT.NO.02 -> JT.NO.02B → JT.NO.02C -> JT.NO.02C → JT.NO.03B -> JT.NO.03 → JT.NO.04 -> JT.NO.03A → JT.NO.03 -> JT.NO.03B → JT.NO.03A -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → SWNO_33004 -> SWNO_220AAR112 → JT.NO.01,XLPE,3.0,Y,AL,HT33KV6908561OEW,AL,2000.0,2023,,220 kV AAREY EHV STATION,SEEPZ REC-STN,12,33004,2020-10-29,33KV,72.333,103.793,95.000,94.828,110.600,90.467,26.069,62.824,89.913,88.467,79.000,73.357,5.000,4.000,4.000,5.000,4.000,4.000,2.000,1.000,4.000,5.000,4.000,6.000
220AAR32,33097,4272.860,JT.NO.01 → JT.NO.01A -> JT.NO.01A → SWNO_33097 -> SWNO_220AAR32 → JT.NO.01,XLPE,3.0,Y,AL,,AL,2000.0,6063,,AAREY 220KV R/S,HIRANANDANI REC-STN,3,33097,2022-01-28,33KV,81.812,86.482,84.392,98.955,97.725,81.293,24.325,42.708,79.466,79.006,69.475,63.886,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000
