FEEDER_ID,FROM_SWITCH,TO_SWITCH,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK
15454,15454,38196,24TH ROAD REC-STN,GANGA JAMUNA SANGAM,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-1238,0
15454,38195,34116,GANGA JAMUNA SANGAM,FORTUNE ENCLAVE,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,1
15454,38197,DT,GANGA JAMUNA SANGAM,GANGA JAMUNA SANGAM,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-1238,1
15454,34114,32764,FORTUNE ENCLAVE,HI-CONS MARQUE,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL01-0860,2
15454,34115,DT,FORTUNE ENCLAVE,FORTUNE ENCLAVE,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL02-0894,2
15454,32766,31556,HI-CONS MARQUE,14TH ROAD NO. 2,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL02-0815,3
15454,32765,DT,HI-CONS MARQUE,HI-CONS MARQUE,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL01-0860,3
15454,31555,4467,14TH ROAD NO. 2,BADRINATH,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0054,4
15454,31556,DT,14TH ROAD NO. 2,14TH ROAD NO. 2,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0815,4
15454,4465,17733,BADRINATH,FOURTEENTH ROAD (14TH),1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0003,5
15454,4466,35381,BADRINATH,KHAR GYMKHANA NO.2,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0645,5
15454,40767,9016,BADRINATH,T K HOTEL,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0526,5
15454,31477,DT,BADRINATH,BADRINATH,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0054,5
15454,17731,38557,FOURTEENTH ROAD (14TH),BELLEZA TOWER,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-1240,6
15454,17732,DT,FOURTEENTH ROAD (14TH),FOURTEENTH ROAD (14TH),1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-0003,6
15454,9017,DT,T K HOTEL,T K HOTEL,1S-MH-MU-ZST-CL02-0526,1S-MH-MU-ZST-CL02-0526,6
15454,38558,10421,BELLEZA TOWER,MADHU PARK,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL03-0344,7
15454,38559,DT,BELLEZA TOWER,BELLEZA TOWER,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL02-1240,7
15454,10420,DT,MADHU PARK,MADHU PARK,1S-MH-MU-ZST-CL03-0344,1S-MH-MU-ZST-CL03-0344,8
15451,15451,31551,24TH ROAD REC-STN,24TH ROAD R/S,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-0885,0
