Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH
SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VISHWESHWAR NAGAR HETALI,40478,SAMANT,5587
.06+70+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JAWAHAR NAGAR NO.3,13847,SONAVALA ESTATE NO.1,714
0.15+185+225+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120SQ.MM,PILC,11KV,HTCF SECTION,AAREY NO.2,18066,AAREY UNIT NO.7 KIOSK,18008
120SQ.MM,PILC,11KV,HTCF SECTION,AAREY SANKRAMAN STUDIO,19112,AAREY UNIT NO.2,19710
120SQ.MM,PILC,11KV,HTCF SECTION,AJIT PARK,15725,TUREL PAKHADI NO.1,6900
120SQ.MM,PILC,11KV,HTCF SECTION,BABREKAR NAGAR NO.1,18669,KANDIVLI HOUSING NO.3,18671
120SQ.MM,PILC,11KV,HTCF SECTION,BHAGATSINGH NAGAR NO.1,28860,BHAGATSINGH NAGAR NO.3,34127
120SQ.MM,PILC,11KV,HTCF SECTION,DINDOSHI VASAHAT CENTRAL,17141,DINDOSHI VASAHAT SOUTH,14101
120SQ.MM,PILC,11KV,HTCF SECTION,GOKULDHAM NO.2,7636,GOKULDHAM NO.1,6877
120SQ.MM,PILC,11KV,HTCF SECTION,GOREGAON TELE.STAFF QUARTERS,10181,A K TOWER,12164
120SQ.MM,PILC,11KV,HTCF SECTION,GULSHAN COMPOUND,19383,GOREGAON HOUSING NO.4,18968
120SQ.MM,PILC,11KV,HTCF SECTION,HIGHLAND GLORY,30256,CHARKOP EAST,15207
120SQ.MM,PILC,11KV,HTCF SECTION,HILL VIEW,13583,GOKULDHAM NO.2,7637
120SQ.MM,PILC,11KV,HTCF SECTION,IMP,4549,GANDHI NAGAR NO.3,10433
120SQ.MM,PILC,11KV,HTCF SECTION,INTER GOLD NO.2,14170,CAMA NO.3,5326
120SQ.MM,PILC,11KV,HTCF SECTION,IRANI WADI NO.1,31645,RADHIKA DARSHAN,16044
