SWNO,VOLTAGE,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
1102,22KV,57.811,57.526,54.777,68.226,78.751,66.063,0.000,0.000,56.463,59.584,55.982,57.255,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
1103,22KV,67.811,65.558,60.830,74.667,114.913,123.082,0.000,0.000,64.348,66.961,56.192,66.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1128,22KV,46.547,48.503,49.017,47.354,77.006,68.210,0.000,0.000,58.638,61.804,55.062,62.032,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
1129,22KV,91.260,76.202,82.696,79.014,87.935,70.347,0.000,0.000,87.461,80.445,75.500,85.533,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1133,22KV,51.989,59.903,57.078,60.460,65.327,61.238,0.000,0.000,54.660,59.219,47.090,55.482,7.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1135,22KV,54.503,59.659,49.013,68.968,64.882,52.636,0.000,0.000,45.276,46.785,39.693,50.362,0.000,1.000,0.000,0.000,4.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000
1143,22KV,56.921,59.056,52.357,61.740,69.032,52.153,0.000,0.000,65.613,62.795,54.719,69.298,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1151,22KV,39.167,37.367,43.969,51.862,54.400,43.000,0.000,0.000,42.769,48.667,4.000,0.000,0.000,1.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1159,22KV,67.165,95.197,64.158,96.701,79.734,66.540,0.000,0.000,67.004,57.632,52.672,66.220,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
1163,22KV,80.677,74.550,67.355,66.086,69.293,62.837,0.000,0.000,76.237,70.571,66.597,79.907,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
