SWNO,VOLTAGE,I_Month_01,I_Month_02,I_Month_03,I_Month_04,I_Month_05,I_Month_06,I_Month_07,I_Month_08,I_Month_09,I_Month_10,I_Month_11,I_Month_12,PEAK_Month_01,PEAK_Month_02,PEAK_Month_03,PEAK_Month_04,PEAK_Month_05,PEAK_Month_06,PEAK_Month_07,PEAK_Month_08,PEAK_Month_09,PEAK_Month_10,PEAK_Month_11,PEAK_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12,OVR_Month_01,OVR_Month_02,OVR_Month_03,OVR_Month_04,OVR_Month_05,OVR_Month_06,OVR_Month_07,OVR_Month_08,OVR_Month_09,OVR_Month_10,OVR_Month_11,OVR_Month_12
1102,22KV,96.730,102.178,103.662,124.047,126.663,122.839,115.565,108.680,105.867,113.227,98.505,90.630,166.102,176.593,189.650,194.847,215.428,203.233,170.527,164.990,165.900,159.430,234.580,198.040,0.000,0.000,1.000,1.000,1.000,1.000,3.000,1.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,9.000
1103,22KV,102.084,110.532,120.845,135.757,144.578,132.663,124.354,121.570,120.146,130.220,113.970,102.998,186.940,182.880,192.980,208.831,224.885,221.128,184.610,191.560,188.310,212.940,171.550,159.459,0.000,1.000,1.000,0.000,1.000,0.000,2.000,1.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1128,22KV,68.439,78.180,82.797,95.283,132.335,131.363,120.032,101.868,102.547,113.684,96.413,81.107,225.410,173.458,173.458,174.968,211.798,201.984,173.458,173.458,173.458,178.670,182.435,179.410,5.000,4.000,3.000,1.000,2.000,1.000,1.000,2.000,2.000,3.000,2.000,1.000,128.000,55.000,48.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.000
1129,22KV,103.642,94.632,115.237,124.151,131.328,128.266,120.203,113.399,108.870,119.869,106.863,91.258,206.540,173.366,225.139,264.653,195.423,192.100,171.870,165.760,173.870,179.960,167.980,201.950,0.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
1133,22KV,79.220,94.590,107.301,116.287,114.958,117.193,109.106,98.914,86.101,95.345,88.930,77.705,169.631,173.733,174.610,232.133,202.249,212.405,144.920,142.380,130.959,133.990,143.950,205.569,3.000,1.000,1.000,2.000,1.000,0.000,2.000,2.000,1.000,1.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
1135,22KV,93.840,102.221,109.134,130.024,111.392,109.655,105.081,101.230,98.117,103.376,90.978,83.841,154.181,212.064,169.134,236.486,196.908,209.814,155.595,165.608,162.714,159.240,154.036,153.320,0.000,3.000,2.000,1.000,2.000,1.000,1.000,2.000,1.000,3.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1143,22KV,89.350,98.902,103.325,123.030,132.542,124.789,116.038,108.436,115.102,124.361,107.835,97.465,201.050,172.389,165.260,197.845,200.341,205.682,167.300,180.700,167.790,202.290,154.580,160.260,1.000,3.000,1.000,2.000,0.000,1.000,1.000,2.000,0.000,1.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1151,22KV,53.596,39.181,57.910,73.905,78.923,74.534,65.191,67.794,67.298,71.581,53.680,53.810,106.000,92.000,149.000,119.000,125.000,121.000,107.000,112.000,103.000,112.000,103.000,94.000,2.000,2.000,3.000,2.000,2.000,2.000,3.000,2.000,4.000,2.000,1.000,1.000,0.000,52.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1159,22KV,117.817,117.136,124.746,148.201,173.729,170.511,153.583,139.506,136.520,149.037,130.909,120.910,195.010,1786.411,373.030,948.103,259.365,252.321,231.743,196.940,209.920,227.880,248.320,247.900,2.000,3.000,2.000,5.000,0.000,0.000,3.000,2.000,2.000,2.000,2.000,3.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000
1163,22KV,86.961,93.361,90.854,114.438,117.837,116.367,105.834,102.134,95.840,113.649,101.630,88.745,167.289,176.156,161.115,212.849,228.595,191.402,155.810,168.523,154.780,184.570,172.910,157.210,1.000,1.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1171,22KV,71.908,78.039,85.570,103.677,98.637,101.541,90.128,85.966,83.859,83.583,72.166,67.299,121.459,142.406,181.470,216.156,171.127,222.924,146.350,138.960,170.173,169.490,145.140,117.040,0.000,1.000,0.000,1.000,1.000,0.000,2.000,1.000,1.000,2.000,0.000,0.000,0.000,0.000,5.000,1.000,0.000,7.000,0.000,0.000,2.000,1.000,2.000,0.000
