FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH
10205,10205-18556,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2382,1,10205,18556
10205,18558-18559,1S-MH-MU-ZSC-CL09-2382,1S-MH-MU-ZSC-CL09-2383,1,18558,18559
10205,10205-10634,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2723,2,10205,10634
10205,10632-573,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2074,2,10632,573
10205,574-39130,1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL09-3373,2,574,39130
10205,39131-28802,1S-MH-MU-ZSC-CL09-3373,1S-MH-MU-ZSC-CL09-3058,2,39131,28802
10205,28803-32963,1S-MH-MU-ZSC-CL09-3058,1S-MH-MU-ZSC-CL08-3241,2,28803,32963
10205,32965-4857,1S-MH-MU-ZSC-CL08-3241,1S-MH-MU-ZSC-CL09-2185,2,32965,4857
10205,572-39962,1S-MH-MU-ZSC-CL09-2074,1S-MH-MU-ZSC-CL06-3404,2.1,572,39962
10205,39964-39632,1S-MH-MU-ZSC-CL06-3404,1S-MH-MU-ZSC-CL06-3489,2.1,39964,39632
10205,39633-5821,1S-MH-MU-ZSC-CL06-3489,1S-MH-MU-ZSC-CL06-2088,2.1,39633,5821
10205,16951-4853,1S-MH-MU-ZSC-CL09-2723,1S-MH-MU-ZSC-CL09-2366,2.2,16951,4853
10205,4855-6089,1S-MH-MU-ZSC-CL09-2366,1S-MH-MU-ZSC-CL09-2348,2.2,4855,6089
10205,6088-25212,1S-MH-MU-ZSC-CL09-2348,1S-MH-MU-ZSC-CL09-2019,2.2,6088,25212
10206,10206-4804,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2298,1,10206,4804
10206,4806-4856,1S-MH-MU-ZSC-CL09-2298,1S-MH-MU-ZSC-CL09-2185,1,4806,4856
10206,16854-18162,1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL09-2027,1,16854,18162
10206,18160-10129,1S-MH-MU-ZSC-CL09-2027,1S-MH-MU-ZSC-CL07-2739,1,18160,10129
10206,10131-35474,1S-MH-MU-ZSC-CL07-2739,1S-MH-MU-ZSC-CL07-3317,1,10131,35474
10206,35475-1045,1S-MH-MU-ZSC-CL07-3317,1S-MH-MU-ZSC-CL07-2297,1,35475,1045
10206,1047-35450,1S-MH-MU-ZSC-CL07-2297,1S-MH-MU-ZSC-CL09-3297,1,1047,35450
10206,4858-40848,1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL08-3291,1.1,4858,40848
10206,40847-29393,1S-MH-MU-ZSC-CL08-3291,1S-MH-MU-ZSC-CL09-3085,1.1,40847,29393
10206,29395-29956,1S-MH-MU-ZSC-CL09-3085,1S-MH-MU-ZSC-CL09-3112,1.1,29395,29956
10206,29954-29957,1S-MH-MU-ZSC-CL09-3112,1S-MH-MU-ZSC-CL09-3113,1.1,29954,29957
10206,29959-9025,1S-MH-MU-ZSC-CL09-3113,1S-MH-MU-ZSC-CL09-2075,1.1,29959,9025
10207,10207-41773,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL05-3321,1,10207,41773
10207,41772-35754,1S-MH-MU-ZSC-CL05-3321,1S-MH-MU-ZSC-CL09-3211,1,41772,35754
10207,35755-15803,1S-MH-MU-ZSC-CL09-3211,1S-MH-MU-ZSC-CL09-2281,1,35755,15803
10207,15801-34616,1S-MH-MU-ZSC-CL09-2281,1S-MH-MU-ZSC-CL06-3280,1,15801,34616
10207,34614-7119,1S-MH-MU-ZSC-CL06-3280,1S-MH-MU-ZSC-CL06-2835,1,34614,7119
10207,32854-18508,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-2221,1,32854,18508
10207,7118-15373,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-2222,1.1,7118,15373
10207,7117-37387,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-3428,1.2,7117,37387
10207,35756-HTCONSUMER,1S-MH-MU-ZSC-CL09-3211,NAN,1.3,35756,HTCONSUMER
10209,10209-14433,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2244,1,10209,14433
10209,14435-7339,1S-MH-MU-ZSC-CL09-2244,1S-MH-MU-ZSC-CL09-2432,1,14435,7339
10209,7341-32373,1S-MH-MU-ZSC-CL09-2432,1S-MH-MU-ZSC-CL09-3225,1,7341,32373
10209,32374-32272,1S-MH-MU-ZSC-CL09-3225,1S-MH-MU-ZSC-CL09-3168,1,32374,32272
10209,32274-16164,1S-MH-MU-ZSC-CL09-3168,1S-MH-MU-ZSC-CL09-2806,1,32274,16164
10210,10210-38517,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL08-3475,1,10210,38517
10210,38516-19899,1S-MH-MU-ZSC-CL08-3475,1S-MH-MU-ZSC-CL09-2926,1,38516,19899
10210,19902-16613,1S-MH-MU-ZSC-CL09-2926,1S-MH-MU-ZSC-CL09-2607,1,19902,16613
10210,16615-9880,1S-MH-MU-ZSC-CL09-2607,1S-MH-MU-ZSC-CL09-3004,1,16615,9880
10210,9882-32413,1S-MH-MU-ZSC-CL09-3004,1S-MH-MU-ZSC-CL09-2765,1,9882,32413
10210,32415-7439,1S-MH-MU-ZSC-CL09-2765,1S-MH-MU-ZSC-CL09-2040,1,32415,7439
10210,7440-14263,1S-MH-MU-ZSC-CL09-2040,1S-MH-MU-ZSC-CL09-2815,1,7440,14263
