SWITCH_1,SWITCH_2
220AAR18,
,
40478,05587
13847,00714
01523,02310
18066,18008
19112,19710
15725,06900
18669,18671
28860,34127
17141,14101
07636,06877
10181,12164
19383,18968
30256,15207
13583,07637
04549,10433
14170,05326
31645,16044
10458,17226
14647,17122
19728,13858
17177,07145
36358,19211
16908,32337
02562,13908
10270,10304
14530,13535
16563,09704
16563,09704
04461,00157
12399,06743
17300,15261
14567,18048
12962,12003
04119,16844
15725,06900
15725,06900
28159,29631
31146,17329
15889,28689
19591,17238
19591,17238
14647,17122
12172,25913
12281,26341
30214,09359
18907,26476
18907,26476
18907,26476
28184,29886
13543,37529
11386,15895
29902,11385
12963,35151
31542,17217
25372,18485
30199,13628
18066,18008
25372,18485
30814,35098
30214,09359
34592,25081
38451,14068
07648,37865
09377,37825
16648,16105
02308,17026
27096,30290
11781,39705
36671,18991
38756,05680
16308,29151
39337,07881
10327,12628
36358,19211
34802,29059
12932,36491
29563,14369
37671,36337
16198,10329
19945,37255
15919,27036
06899,05271
06899,05271
30213,11736
17896,04165
17896,04165
17896,04165
39995,06703
06703,39995
06610,15928
06779,04864
06076,19389
19389,06076
09015,04128
37321,18807
40179,29352
34152,39974
16243,16247
25353,25545
10149,19020
11493,09272
11493,09272
26311,10423
26311,10423
26311,10423
04863,07877
06851,18291
14426,16236
36480,10628
19343,12615
01517,38467
30898,04848
35883,15986
31747,10964
10596,38096
09015,4128
10314,16058
11908,34826
14414,12378
14414,12378
34990,18751
30879,13704
31394,28877
14192,38928
18628,19969
11067,12937
26646,19956
03710,13203
01502,02086
01509,35490
31359,34411
00795,11954
36750,36741
30900,26546
35878,36976
18245,11311
15697,07457
12036,09347
18445,11579
31682,04581
14606,18331
29530,04333
32513,35832
39636,34340
39638,10141
32527,37157
32527,37157
03645,11842
34852,02915
34852,02915
31670,25370
31670,25370
31670,25370
18812,14398
18812,14398
31053,18305
39296,36041
19768,10167
39377,19237
18973,04949
17415,14915
28555,31933
34015,13965
T22BOROG17,01129
T22BOROG17,01129
07648,37865
11145,02598
11781,39705
30213,11736
25088,36558
36938,13969
14394,26214
14403,32316
18670,04548
00288,34572
07219,34363
02362,40141
10667,04287
40141,02362
25358,02306
10146,34992
06779,04864
31930,06518
32386,04023
17935,26514
03707,12496
03707,12496
03711,13863
01534,39272
19210,35099
35870,28367
13461,28500
19549,31782
31747,10964
31747,10964
10375,10371
10375,10371
16545,34766
27078,37211
27078,37211
27082,14983
14414,12378
14420,15335
14420,15335
09652,18770
09726,07663
26052,29377
38041,13260
26037,26139
13845,06828
06813,02460
35434,19200
10146,34992
26311,10423
30901,04550
13426,19021
10314,16058
09301,17080
09077,12425
31634,32257
38513,31926
36794,11053
40284,37319
T22MAL03,01193
220AAR71,33140
220AAR88,33139
220AAR88,33139
220GOR17,33015
220GOR28,33159
220VER12,33020
220VER12,33020
220VER43,33276
220VER63,33294
220VER63,33294
220VER68,33106
33019,33234
T33BORF3,33019
01163,01193
12302,06839
15919,27036
14421,
34739,
26969,
39625,
,
,
,
,
,
ED,
,
,
,
35489,ED
,
,
14430,
40129,
DID,25668
T22MAL01,
T22MAL02,
T22MAL03,
T22MAL03,
T22MAL02,
3711,13863
3711,13863
33074,
16241,6948
32128,1535
25590,
30135,
26322,
14726,26971
26971,
26332,
9731,
34729,
26033,
NO,3645
11910,
NO,28223
NO,30877
35872,
31053,
36709,
16777,
7959,ED
,
,
19383,19383
29153,34792
14066,14066
19406,19406
5680,11841
37784,30135
T22MALH03OG02,
220VER68,
220GOI09,
220AAR64,
T22MAL01,
,
T22BOROG17,
220VER14,
220GOR24,
T33BORF7,
220GOR17,
T33BORF7,
T33BORF3,
T22BOROG20,
T22MAL03,
220GOI13,
220VER07,
220VER37,
T22MAL03,
T22MALOG2H03,
T33BORF9,
220AAR08,
220AAR88,
T33BORF9,
T22BOROG13,
T22MALOG01H02,
T22MAL02,
220AAR88,
220GOR28,
220VER43,
220VER04,
T22MAL02,
220GOR28,
220VER12,
220VER02,
220AAR08,
220AAR71,
T33BORF3,
220VER04,
220VER02,
,
,
,
,
,
T33BORF7,
,
,
,
33140,
220VER04,
220AAR08,
,
,
40618,
,
37136,
,
,
,
3645,
NOT,18966
GOT,2214
220VER04,
16773,ED
18629,ED
11260,ED
13831,ED
30662,ED
12502,ED
14103,ED
ED,ED
35921,ED
6757,ED
39772,ED
12962,ED
33073,
26038,
16649,
40123,
26916,
35433,
37889,
16649,
37909,
16649,
37909,
25668,
25790,
25590,
,
25795,
25590,
,
36700,
29559,
14414,
19209,
14925,
9392,
,
26038,
33212,36710
17892,17892
,
,
33106,26973
25592,25587
,
26472,ED
37821,ED
ED,1529
GEAR,4738
,
MADE,35783
11909,
1163,16774
37909,
NO,3713
220VER07,
220VER43,
220VER12,
220VER14,
220VER68,
,
,
30135,
30034,
T33BORF7,
32585,
30525,
32128,
36851,
39526,
31024,
12936,
16433,
15966,
29192,
16430,
30456,
1508,
NO,7830
NO,7823
NO,1523
26970,
19432,36707
05427,26331
40039,29559
32197,14426
30268,26312
19768,9729
26330,
7818,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
32585,
34338,
32585,
32585,
32585,
32585,
14446,
14446,
32585,
19721,
32585,
12424,
19721,
32585,
32585,
39649,
4316,
39649,
32585,
17416,
32585,
4316,4316
4251,
36855,
32585,
32585,
28773,
32585,
34752,
4316,
14726,
32585,
32585,
32585,
32585,
34820,
14446,
34820,30876
,
,
,
,
,
,
,
,
,
,
,
,
T22MALOG2H03,
T33BORF7,
37889,12
15104,
GEAR,19432
7824,
31056,
29192,30895
36709,
2362,1522
33292,40286
35882,
32585,
32585,
32585,
32585,
32585,
,
,
,
,
38589,
34467,
36711,ED
25590,
25590,
25590,
,
11910,
,
T33BORF7,
29201,
17870,10739
17870,10739
28034,07725
28034,07725
28034,07725
12273,13087
00559,04688
14922,15365
30956,15548
30956,15548
28034,07725
28034,07725
28034,07725
09264,29966
30518,02111
30518,02111
09266,29428
14357,40035
14628,15767
T22CHE07,33053
T22CHE07,33053
T22CHE04,33052
T22CHE05,33209
18151,09826
10907,02702
04692,15282
12457,11381
31627,07631
07497,10272
07497,10272
07497,10272
09535,13238
09535,13238
09535,13238
09535,13238
HOUSE,00486
19323,15281
00460,16417
00686,26150
07133,15484
18469,18474
18472,30502
16419,16441
15179,15182
25346,16291
15777,13059
00529,14077
31757,09827
12148,12213
16019,17554
16019,17554
18764,29079
04371,12672
11368,05020
10570,10555
39461,09839
12267,12505
05672,34126
15529,04041
15529,04041
09939,26202
26809,11688
09944,07380
09742,09745
31164,32450
32533,02357
18828,39038
18828,39038
18782,09162
07362,38976
36019,18965
36019,18965
28721,35493
06463,36176
14392,11690
35677,35694
35493,06350
05107,15739
34838,31321
35493,06350
13314,16187
16187,13314
16187,13314
27024,18220
38534,35953
16161,39293
39777,37935
39777,37935
39309,00304
39486,10866
06805,37463
31500,09116
29827,13808
38805,07980
18426,19061
19059,27039
02176,14083
02176,14083
16062,16076
36873,12000
36873,12000
34104,07930
04914,36923
18675,29372
06463,36176
26693,25499
28024,26060
12089,13955
09845,14924
05537,34282
04683,13770
13770,04683
30653,13956
11408,02190
25270,18959
25270,18959
12517,16354
16240,02830
04913,09427
28122,02107
32428,16238
05071,09951
07611,10813
19824,07610
28152,38775
25278,06713
25278,06713
25278,06713
25278,06713
25278,06713
31230,05312
31080,29764
07200,29321
03124,29035
26757,35122
35899,06384
35899,06384
40138,35901
37931,07381
07887,16976
37647,02682
31868,25833
04365,29358
40782,18951
25573,04445
00105,04911
12517,16354
14626,26594
28967,26216
32857,28033
32857,28033
32857,28033
32857,28033
07938,07929
06786,07201
19773,09291
18834,19505
19456,18255
16748,32479
18709,28855
31565,09875
28857,05661
39911,05703
15122,14909
13042,15637
10568,13079
10568,13079
10568,13079
15015,31151
15015,31151
29252,14389
30951,HOUSE
13928,18342
15730,16857
15730,16857
14626,26594
14626,26594
32863,11410
16729,38270
16729,38270
02874,25279
06786,07201
19582,07475
19582,07475
04915,13019
12925,30205
39898,10915
12836,30206
26567,30822
12350,29402
18711,38361
14975,39811
14975,39811
HOUSE,00490
26159,00748
26159,00748
25774,25121
02170,16146
18980,10708
28597,37063
36619,14802
26380,10860
14134,37409
00104,06824
36668,29262
02967,29274
02967,29274
10280,15003
10914,39312
18350,09750
35300,35955
11948,26441
38732,30190
38732,30190
38732,30190
29090,39666
25825,26565
39584,09319
39584,09319
09325,11035
09325,11035
26901,17394
29241,38392
34930,38774
25890,25450
25891,36997
19783,14053
19783,14053
19783,14053
39653,02690
39653,02690
35141,30596
31988,36424
31988,36424
38941,35606
06968,34714
16871,30745
16871,30745
06571,38001
06572,36035
07832,07519
15730,16857
19578,32294
29332,34463
37462,00394
37462,00394
19746,38580
09244,15868
T22CHE02,01151
T22VIK05,33054
26547,05897
32868,37748
25492,09902
37990,37995
37990,37995
37990,37995
37990,37995
12848,32883
10202,12272
27006,04589
38189,06468
30663,26357
11509,09542
11477,09032
11477,09032
26995,34305
18718,11286
31267,04891
31385,34527
31385,34527
36543,17924
29589,00259
29589,00259
31443,38079
31447,16008
31452,07533
26487,31516
26487,31516
14627,34481
28198,12578
26401,28741
31515,02444
31515,02444
09902,25492
35168,09099
28145,07299
36353,39864
36760,39872
16006,02954
35757,30452
25996,25463
17905,15351
32908,02617
28035,02733
28035,02733
11903,13287
11903,13287
13041,30294
32626,35439
39539,07761
40841,40333
32227,32228
03116,09853
04921,39289
09033,32855
09033,32855
09033,32855
25841,30941
36693,36908
34445,07641
26417,11301
30451,11634
30451,11634
30451,11634
35693,10644
36056,39954
T22VIK02,01171
T22VIK05,33054
34120,04908
14976,13652
35440,39460
37647,02682
04365,29358
18723,05131
15703,29327
14626,26594
32479,18949
14134,37409
37819,10769
26760,16555
16871,30745
02343,38793
31249,07602
39166,30938
19206,15737
25891,36997
34931,34934
30206,12836
06572,36035
T22VIK07,01103
29277,39840
29277,39840
29281,39868
29281,39868
29284,39848
29288,39877
T22CHE07,33111
T22VIK06,01135
T22VIK07,22001
T22VIK08,33069
T22VIK07,22001
220AAR12,33150
220AAR32,33097
220AAR32,33097
220AAR65,33151
220AAR86,220CHE30
220AAR86,220CHE30
220AAR90,33070
220CHE16,33109
220CHE28,220AAR90
220CHE28,33070
220CHE32,33238
220CHE32,33238
220CHE32,33238
220CHE32,33238
220CHE38,33055
220CHE38,33055
220CHE38,33055
220SAK01,33167
220SAK12,33155
220SAK24,33166
T33DHAH08,33119
T22VIK07,01103
16991,04300
11722,05435
34367,07496
11475,30505
10865,14691
09322,05142
04971,30635
04920,06348
25053,34212
25023,
,
18831,
1102,
1103,T22VIK07
,
33151,
14328,ED
38577,ED
34303,
29205,
18781,18780
31237,31237
6096,ED
6466,ED
OF,36925
36352,ED
19776,
14328,
16031,
38371,
40767,
13136,ED
6751,ED
,
11794,11794
36178,09175
2962,10480
19176,37018
12331,15401
5893,05893
33215,
18238,18236
40491,38239
9116,31500
7535,28721
13928,13928
220SAK19,
220SAK19,
T22CHE02,
220SAK12,
220CHE16,
220CHE15,
220CHE01,
T22VIK06,
220CHE04,
220SAK28,
220CHE40,
220CHE32,
T33DHAH08,
220AAR12,
220SAK30,
T22CHE03,
220CHE27,
T22CHE07,
T22SAK29,
220CHE32,
14629,ED
T33OG11,
220AAR32,
T22CHE04,
T33DHAH22,
220CHE38,
T22SAK29,
T33MAN05,
T22VIK07,
T22VIK08,
220CHE11,
220SAK28,
T22VIK09,
T22CHE07,
220AAR42,
T22CHE06,
T33SAKOG11,
220AAR65,
T22VIK07,
220CHE02,
T22CHE08,
T22VIK09,
220SAK35,
T22VIK02,
220CHE28,
T22VIK05,
T22SAKH5,
T33DHAH22,
220CHE16,
T22SAK29,
220CHE38,
220SAK01,
T22CHE05,
T22VIK11,
220SAK24,
T22CHE06,
T22VIK05,
220SAK15,
T22VIK07,
T22CHE01,
T22VIK02,
T22VIK06,
T33OG06,
220AAR02,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
36554,ED
30681,
11225,11225
25886,ED
25889,ED
26771,ED
32845,
9846,
17601,
34526,
28598,
37149,
40240,
13860,
10800,
NOT,40795
,
38536,ED
MADE,25208
MADE,15547
9747,ED
31306,ED
38048,
39663,
29613,
9846,
36438,
38372,
26418,
25890,
13660,16031
28198,
14485,27085
10872,10562
25887,
37372,12000
,
,
,
32867,
,
,
DID,13457
29613,
17606,
9192,
31246,
13860,
11369,
28134,
34391,
9635,
32514,32514
4693,
4975,ED
5350,ED
28197,
28197,
28197,
14707,
29766,ED
38547,
16007,231
16007,231
34556,
13314,32860
WHILE,38375
,
T22VIK07,
,
13860,25890
231,
10745,
10638,
18960,
40801,
36757,
3117,
29318,
30680,
39756,ED
T22CHE07,
T22VIK07,
,
T22VIK07,
T22VIK10,
T22CHE07,
,
T22VIK02,
,
16020,18834
07496,34375
5464,30951
34297,
17394,29252
19001,29324
37271,235
26372,31274
26766,
34556,
26766,
34489,
30792,GEAR
17770,
17770,
16007,16007
16007,
16007,
5508,
5508,
35732,
16341,
34489,
5393,
5508,
5508,
17770,
31386,
5508,
16007,
35732,
35732,
34395,
35732,
11163,
39887,
35732,
35732,
40860,
26766,
31274,
31010,
31447,
30792,26385
37613,31438
26766,
25269,
GEAR,17770
31010,
25019,
34489,31447
36356,
19776,
9320,
32866,
,
,
,
,
,
,
,
,
,
,
2266,
11369,
33006,233
31447,
,
GEAR,35961
GEAR,NOT
GEAR,10638
26766,
37008,ED
32845,
29613,
15766,
GEAR,28242
GEAR,DID
37465,
3121,
3121,
31274,
6571,
30654,
29324,29332
29330,29318
NO,7981
31452,105
34548,29322
9320,5131
29289,
25023,
5283,31988
39142,
19583,
32860,
34296,
104,3103
7382,110
31452,
3608,11474
3121,
3117,15361
37014,
18824,
109,
18824,
37018,
,
,
3614,
37297,
34489,31447
18825,
32857,
32857,
,
12333,
,
,
,
,
25890,
,
,
,
