FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL
15454,15454-38196,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-1238,0,2025-04-04,127.4258823529412,7.0401308591575305
15454,38195-34116,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL02-0894,1,2025-04-04,233.6289265536723,12.907724749880003
15454,34114-32764,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL01-0860,2,2025-04-04,134.06212290502793,7.4067753825215865
15454,32766-31556,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0815,3,2025-04-04,245.58708994708996,13.568399281382703
15454,31555-4467,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0054,4,2025-04-04,364.4859903381643,20.13742436723316
15454,4465-17733,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-0003,5,2025-04-04,199.4650485436893,11.020210475657494
15454,4466-35381,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0645,1S-MH-MU-ZST-CL02-0645,5,,,
15454,40767-9016,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0526,1S-MH-MU-ZST-CL02-0526,5,2025-04-04,280.49463414634147,15.497000242166111
15454,17731-38557,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL02-1240,6,2025-04-04,118.43076923076924,6.5431613871501515
15454,38558-10421,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL03-0344,1S-MH-MU-ZST-CL03-0344,7,2025-04-04,295.2936585365853,16.314629018764304
15451,15451-31551,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0885,0,2025-04-04,372.35792682926825,20.572339644953974
15451,31553-39603,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-RSTN-KHAR,1S-MH-MU-ZST-RSTN-KHAR,1,2025-04-04,102.34516129032258,5.65445037523669
15451,39786-39785,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0414,1,2025-04-04,442.1289855072464,24.427108975994727
15451,15770-29785,1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-0198,2,2025-04-04,536.2233009708738,29.6257097761994
15451,29783-37301,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-1121,3,2025-04-04,312.7985046728972,17.28175127990523
15451,37302-6351,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-0200,4,2025-04-04,541.4718446601942,29.915685672073337
15451,6353-38538,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-1253,1S-MH-MU-ZST-CL02-1253,5,2025-04-04,133.05478260869566,7.351121010152879
15451,18940-719,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-0296,1S-MH-MU-ZST-CL02-0296,5,2025-04-04,301.4338164251208,16.653865555588496
15451,38537-5999,1S-MH-MU-ZST-CL02-1253,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-0013,6,2025-04-04,267.6117073170732,14.785233613187327
15451,30975-36876,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1164,1S-MH-MU-ZST-CL02-1164,7,2025-04-04,124.66341463414632,6.887507750920796
15451,6001-39046,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1278,1S-MH-MU-ZST-CL02-1278,7,2025-04-04,106.73658536585366,5.897071415632257
15451,36874-32412,1S-MH-MU-ZST-CL02-1164,1S-MH-MU-ZST-CL02-0842,1S-MH-MU-ZST-CL02-0842,8,2025-04-04,431.27237569060776,23.82729399033702
15451,32410-35496,1S-MH-MU-ZST-CL02-0842,1S-MH-MU-ZST-CL02-0978,1S-MH-MU-ZST-CL02-0978,9,2025-04-04,194.11523178807948,10.724639361402327
15451,35494-40416,1S-MH-MU-ZST-CL02-0978,1S-MH-MU-ZST-CL02-1347,1S-MH-MU-ZST-CL02-1347,10,2025-04-04,197.1091525423729,10.890049978954835
15452,15452-44097,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-1207,0,,,
15452,44100-37567,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-1207,1,,,
15452,37568-31740,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-0822,1S-MH-MU-ZST-CL03-0822,1,2025-04-04,189.52677595628413,10.471132547081584
15452,39817-29542,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL02-0746,1S-MH-MU-ZST-CL02-0746,1,2025-04-04,440.9521951219512,24.362092684537316
15452,31738-32926,1S-MH-MU-ZST-CL03-0822,1S-MH-MU-ZST-CL02-0867,1S-MH-MU-ZST-CL02-0867,2,2025-04-04,316.1922222222222,17.469250202456074
15452,29544-29539,1S-MH-MU-ZST-CL02-0746,1S-MH-MU-ZST-CL02-0745,1S-MH-MU-ZST-CL02-0745,2,2025-04-04,505.5529126213592,27.93120671689389
15452,32928-41902,1S-MH-MU-ZST-CL02-0867,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-RSTN-BAND,3,2025-02-07,403.0609336609336,22.268644837221238
15452,29541-26907,1S-MH-MU-ZST-CL02-0745,1S-MH-MU-ZST-CL02-0698,1S-MH-MU-ZST-CL02-0698,3,2025-04-04,580.9298076923077,32.0956919475054
15452,41902-43307,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL01-1398,1S-MH-MU-ZST-CL01-1398,4,,,
15452,26905-1011,1S-MH-MU-ZST-CL02-0698,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,4,2025-04-04,158.6059405940594,8.762792583450144
15452,31954-31955,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,5,2025-04-04,158.6059405940594,8.762792583450144
15452,2661-5952,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0005,5,2025-04-04,263.4136585365854,14.553296331514044
15452,5954-39984,1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0942,1S-MH-MU-ZST-CL02-0942,6,2024-10-04,18.29714285714286,1.0108957276528678
