FEEDER_ID,FROM_TO,SOURCE_SSFL,DESTINATION_SSFL,LATEST_DT_DATE,DT_LOAD
220AAR02,220AAR92-33099,1S-MH-MU-ZSC-CL10-3581,1S-MH-MU-ZET-RSTN-HIRA,2025-02-07,200.446783625731
220AAR05,220AAR05-CAP BANK,1T-MH-MU-ARY,1T-MH-MU-ARY,,
220AAR100,220AAR100-CAP BANK,1T-MH-MU-ARY,1T-MH-MU-ARY,,
220AAR102,220AAR102-33008,1T-MH-MU-ARY,1S-MH-MU-ZST-RSTN-VILE,2011-08-17,36.81951219512195
220AAR102,11435-31090,1S-MH-MU-ZST-RSTN-VILE,1S-MH-MU-ZST-RSTN-VILE,2011-08-17,36.81951219512195
220AAR102,33008-PT,1S-MH-MU-ZST-RSTN-VILE,1S-MH-MU-ZST-RSTN-VILE,2011-08-17,36.81951219512195
220AAR102,PT-11430,1S-MH-MU-ZST-RSTN-VILE,1S-MH-MU-ZST-RSTN-VILE,2011-08-17,36.81951219512195
220AAR104,220AAR104-CAP BANK,1T-MH-MU-ARY,1T-MH-MU-ARY,,
220AAR108,TIE BPT-2-39001,1S-MH-MU-ZSC-RSTN-JBNA,1S-MH-MU-ZSC-RSTN-JBNA,2024-12-03,75.57236363636363
220AAR108,220AAR108-33246,1T-MH-MU-ARY,1S-MH-MU-ZSC-RSTN-JBNA,2024-12-03,75.57236363636363
220AAR108,33246-PT,1S-MH-MU-ZSC-RSTN-JBNA,1S-MH-MU-ZSC-RSTN-JBNA,2024-12-03,75.57236363636363
220AAR108,PT-39033,1S-MH-MU-ZSC-RSTN-JBNA,1S-MH-MU-ZSC-RSTN-JBNA,2024-12-03,75.57236363636363
220AAR109,220AAR109-33150,1T-MH-MU-ARY,1S-MH-MU-ZET-RSTN-HIND,2025-04-04,11.914408602150537
220AAR109,33150-PT,1S-MH-MU-ZET-RSTN-HIND,nan,,
220AAR109,PT-31264,1S-MH-MU-ZET-RSTN-HIND,1S-MH-MU-ZET-RSTN-HIND,2025-04-04,11.914408602150537
220AAR111,220AAR111-CAP BANK,1T-MH-MU-ARY,1T-MH-MU-ARY,,
220AAR112,12526-25151,1S-MH-MU-ZSC-RSTN-SEEP,1S-MH-MU-ZSC-RSTN-SEEP,2012-05-30,145.4938775510204
220AAR112,220AAR112-33004,1T-MH-MU-ARY,1S-MH-MU-ZSC-RSTN-SEEP,2012-05-30,145.4938775510204
