FEEDER_ID,FROM_TO,SOURCE_SSFL,DESTINATION_SSFL,LATEST_DT_DATE,DT_LOAD
nan,29916-16915,1S-MH-MU-ZSC-CL08-3108,1S-MH-MU-ZSC-CL08-2843,2025-04-04,388.4985221674877
nan,11292-02052,nan,1S-MH-MU-ZET-CL06-8690,2025-04-04,192.4496551724138
nan,03136-14325,1S-MH-MU-ZET-RSTN-SAKI,1S-MH-MU-ZSC-RSTN-AARE,2025-04-04,238.4943488943489
nan,03136-14325,1S-MH-MU-ZET-RSTN-SAKI,1T-MH-MU-ARY,,
nan,25270-25271,1S-MH-MU-ZET-RSTN-CHEM,1S-MH-MU-ZET-RSTN-CHEM,2025-02-07,462.57939698492464
nan,17731-04282,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-0294,2020-01-10,291.8277777777778
nan,SWITCHYARDBB-SWITCHYARDBB,1T-MH-MU-VSV,1T-MH-MU-VSV,,
nan,220AAR78-33226,1T-MH-MU-ARY,1S-MH-MU-ZSC-RSTN-MARO,2024-12-03,20.283956043956042
nan,220AAR78-33226,1S-MH-MU-ZSC-RSTN-AARE,1S-MH-MU-ZSC-RSTN-MARO,2024-12-03,20.283956043956042
nan,220AAR58-220AAR58,1T-MH-MU-ARY,1T-MH-MU-ARY,,
nan,00000-00000,1T-MH-MU-ARY,1S-MH-MU-ZSC-CL10-2012,2025-04-04,52.012182741116746
nan,00000-00000,1T-MH-MU-ARY,1S-MH-MU-ZCT-RSTN-GOKU,2025-04-04,385.9818181818182
nan,00000-00000,1T-MH-MU-ARY,1S-MH-MU-ZCT-RSTN-RAHE,2024-06-04,52.79483146067415
nan,220SAK27-220SAK12,1T-MH-MU-SAK,1T-MH-MU-SAK,,
nan,220GOI02-220GHO08,1T-MH-MU-GOR,1T-MH-MU-GBR,,
nan,220GOI15-220GHO18,1T-MH-MU-GOR,1T-MH-MU-GBR,,
nan,220SAK42-33081,1T-MH-MU-SAK,1S-MH-MU-ZST-RSTN-KALA,2025-02-07,191.55841584158418
nan,220SAK19-33009,1T-MH-MU-SAK,1S-MH-MU-ZET-RSTN-KURL,2015-05-04,267.8853658536585
nan,220SAK28-33006,1T-MH-MU-SAK,1S-MH-MU-ZET-RSTN-KURL,2015-05-04,267.8853658536585
