FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH,LATEST_DT_DATE,DT_LOAD,LOCATION
15452,6811-HTCONSUMER,1S-MH-MU-ZST-CL02-0298,NAN,5.1,6811,HTCONSUMER,2018-04-09,309.7547780678851,NAN
15455,35013-NAN,1S-MH-MU-ZST-CL02-0969,NAN,6,35013,NAN,2018-04-09,309.7547780678851,NAN
15455,35015-NAN,1S-MH-MU-ZST-CL02-0969,NAN,5.2,35015,NAN,2018-04-09,309.7547780678851,NAN
15458,15458-CAP BANK,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-RSTN-24TH,1,15458,CAP BANK,2011-08-17,446.2212121212121,1S-MH-MU-ZST-RSTN-24TH
29201,35758-HTCONSUMER,1S-MH-MU-ZET-CL11-9488,NAN,4.1,35758,HTCONSUMER,2018-04-09,309.7547780678851,NAN
29205,29205-CAP BANK,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-RSTN-ACRO,1,29205,CAP BANK,2011-03-29,152.82142857142858,1S-MH-MU-ZET-RSTN-ACRO
29207,2873-HTCONSUMER,1S-MH-MU-ZET-CL11-8116,NAN,3.1,2873,HTCONSUMER,2018-04-09,309.7547780678851,NAN
29211,31636-HTCONSUMER,1S-MH-MU-ZET-CL11-8909,NAN,2.1,31636,HTCONSUMER,2018-04-09,309.7547780678851,NAN
29212,12819-HTCONSUMER,1S-MH-MU-ZET-CL11-8060,NAN,2.1,12819,HTCONSUMER,2018-04-09,309.7547780678851,NAN
29214,29214-CAP BANK,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-RSTN-ACRO,1,29214,CAP BANK,2011-03-29,152.82142857142858,1S-MH-MU-ZET-RSTN-ACRO
10207,35756-HTCONSUMER,1S-MH-MU-ZSC-CL09-3211,NAN,2.1,35756,HTCONSUMER,2018-04-09,309.7547780678851,NAN
10210,32414-HTCONSUMER,1S-MH-MU-ZSC-CL09-2765,NAN,5.1,32414,HTCONSUMER,2018-04-09,309.7547780678851,NAN
10212,10212-CAP BANK,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-RSTN-AMBI,1,10212,CAP BANK,2012-09-21,581.4,1S-MH-MU-ZSC-RSTN-AMBI
10221,10221-CAP BANK,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-RSTN-AMBI,1,10221,CAP BANK,2012-09-21,581.4,1S-MH-MU-ZSC-RSTN-AMBI
10222,35794-HTCONSUMER,1S-MH-MU-ZSC-CL09-2019,NAN,6,35794,HTCONSUMER,2018-04-09,309.7547780678851,NAN
10222,37313-HTCONSUMER,1S-MH-MU-ZSC-CL09-3455,NAN,3.2,37313,HTCONSUMER,2018-04-09,309.7547780678851,NAN
10223,29461-HTCONSUMER,1S-MH-MU-ZSC-CL05-3075,NAN,2,29461,HTCONSUMER,2018-04-09,309.7547780678851,NAN
19553,19425-HTCONSUMER,1S-MH-MU-ZSC-CL09-2892,NAN,4.1,19425,HTCONSUMER,2018-04-09,309.7547780678851,NAN
19559,19559-CAP BANK,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-RSTN-AMBI,1,19559,CAP BANK,2012-09-21,581.4,1S-MH-MU-ZSC-RSTN-AMBI
28692,19512-HTCONSUMER,1S-MH-MU-ZSC-CL06-2263,NAN,11.1,19512,HTCONSUMER,2018-04-09,309.7547780678851,NAN
28693,29465-HTCONSUMER,1S-MH-MU-ZSC-CL05-3075,NAN,2,29465,HTCONSUMER,2018-04-09,309.7547780678851,NAN
28698,28698-CAP BANK,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-RSTN-AMBI,1,28698,CAP BANK,2012-09-21,581.4,1S-MH-MU-ZSC-RSTN-AMBI
4430,16721-HTCONSUMER,1S-MH-MU-ZSC-CL07-2343,NAN,4.1,16721,HTCONSUMER,2018-04-09,309.7547780678851,NAN
4433,42194-HTCONSUMER,1S-MH-MU-ZST-CL04-1362,NAN,4.1,42194,HTCONSUMER,2018-04-09,309.7547780678851,NAN
4434,4434-CAP BANK,1S-MH-MU-ZSC-RSTN-ANDH,1S-MH-MU-ZSC-RSTN-ANDH,1,4434,CAP BANK,2024-12-03,480.91055276381906,1S-MH-MU-ZSC-RSTN-ANDH
4436,2249-HTCONSUMER,1S-MH-MU-ZSC-CL03-3164,NAN,5.1,2249,HTCONSUMER,2018-04-09,309.7547780678851,NAN
4437,42794-HTCONSUMER,1S-MH-MU-ZSC-CL07-3640,NAN,2.1,42794,HTCONSUMER,2018-04-09,309.7547780678851,NAN
4442,4442-DT,1S-MH-MU-ZSC-RSTN-ANDH,1S-MH-MU-ZSC-RSTN-ANDH,2,4442,DT,2024-12-03,480.91055276381906,1S-MH-MU-ZSC-RSTN-ANDH
4640,4640-CAP BANK,1S-MH-MU-ZSC-RSTN-ANDH,1S-MH-MU-ZSC-RSTN-ANDH,1,4640,CAP BANK,2024-12-03,480.91055276381906,1S-MH-MU-ZSC-RSTN-ANDH
4994,36638-HTCONSUMER,1S-MH-MU-ZSC-CL03-3413,NAN,1.1,36638,HTCONSUMER,2018-04-09,309.7547780678851,NAN
4995,4995-DT,1S-MH-MU-ZSC-RSTN-ANDH,1S-MH-MU-ZSC-RSTN-ANDH,2,4995,DT,2024-12-03,480.91055276381906,1S-MH-MU-ZSC-RSTN-ANDH
4997,4997-CAP BANK,1S-MH-MU-ZSC-RSTN-ANDH,1S-MH-MU-ZSC-RSTN-ANDH,1,4997,CAP BANK,2024-12-03,480.91055276381906,1S-MH-MU-ZSC-RSTN-ANDH
28964,28964-CAP BANK,1S-MH-MU-ZET-RSTN-ANIK,1S-MH-MU-ZET-RSTN-ANIK,1,28964,CAP BANK,2025-02-07,461.3060606060606,1S-MH-MU-ZET-RSTN-ANIK
28966,302-HTCONSUMER,1S-MH-MU-ZET-CL10-8816,NAN,3.2,302,HTCONSUMER,2018-04-09,309.7547780678851,NAN
32857,28036-HTCONSUMER,1S-MH-MU-ZET-CL10-8644,NAN,1.2,28036,HTCONSUMER,2018-04-09,309.7547780678851,NAN
32861,32861-CAP BANK,1S-MH-MU-ZET-RSTN-ANIK,1S-MH-MU-ZET-RSTN-ANIK,1,32861,CAP BANK,2025-02-07,461.3060606060606,1S-MH-MU-ZET-RSTN-ANIK
32868,2678-HTCONSUMER,1S-MH-MU-ZET-CL10-8643,NAN,2,2678,HTCONSUMER,2018-04-09,309.7547780678851,NAN
