SWNO,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
10205,46.079,49.597,52.985,75.948,72.313,72.220,64.217,64.217,53.522,59.423,40.691,40.792
10206,94.965,99.852,116.194,130.660,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788
10207,39.181,44.518,46.915,61.698,65.982,70.093,63.882,63.882,46.100,55.566,45.452,37.849
10208,275.870,292.171,326.863,386.970,416.443,396.372,398.449,398.449,328.422,369.999,311.144,262.109
10209,73.080,73.942,76.311,74.665,74.857,74.415,77.444,77.444,80.041,82.512,79.121,76.999
10210,71.059,76.809,88.788,101.753,109.370,106.442,110.202,110.202,84.321,93.476,84.835,69.638
10211,0.057,0.087,0.136,5.161,0.065,0.013,0.000,0.000,0.435,0.128,0.070,0.141
10214,91.257,89.395,104.643,128.881,145.980,143.730,162.126,162.126,116.605,130.297,117.772,96.194
10215,11.772,9.678,6.795,23.983,6.859,0.000,0.000,0.000,6.249,2.733,6.532,9.338
10216,351.584,333.425,378.047,426.024,455.944,483.704,473.568,473.568,380.739,412.488,372.888,317.486
10217,37.040,41.312,47.779,52.096,57.873,83.189,109.477,109.477,48.407,55.199,48.398,38.863
10218,3.576,3.978,12.075,15.667,14.364,19.222,17.098,17.098,0.000,0.000,0.000,0.000
10219,46.157,44.065,48.871,61.251,64.365,59.740,27.600,27.600,45.564,50.158,42.440,38.781
10220,56.515,61.925,66.450,68.847,71.025,69.204,48.606,48.606,52.567,58.702,56.225,54.226
10222,59.406,64.403,68.459,76.767,86.178,81.174,81.800,81.800,66.153,74.069,65.719,57.405
10223,48.979,50.533,55.312,49.584,45.499,58.317,46.860,46.860,57.912,52.974,54.931,48.914
104,44.222,46.487,52.899,56.956,61.443,59.522,57.057,57.057,51.503,55.515,49.492,42.142
105,77.630,82.691,98.065,100.874,102.345,110.323,104.874,104.874,92.120,105.286,89.987,78.242
10558,0.037,3.440,0.717,0.069,0.964,0.140,0.073,0.073,0.000,0.000,0.044,0.000
10559,6.065,5.905,6.469,7.683,8.329,8.147,9.357,9.357,,,,
10560,67.776,70.177,77.687,86.075,97.173,86.873,96.022,96.022,74.978,75.070,72.089,55.200
10561,190.318,210.892,217.324,245.864,258.129,234.904,269.341,269.341,223.806,224.603,195.100,136.777
10562,6.721,20.042,0.061,0.069,0.073,0.614,0.073,0.073,0.000,0.000,0.033,0.000
10563,111.231,114.202,136.453,156.324,156.612,139.600,170.291,170.291,123.037,136.103,121.501,81.804
10566,92.272,96.053,113.693,123.843,129.446,122.916,133.230,133.230,103.988,121.250,109.084,93.689
10567,3.125,3.313,4.316,5.792,6.152,6.152,6.152,6.152,0.244,2.381,0.000,0.000
10568,0.037,0.039,0.038,0.069,0.073,0.073,0.073,0.073,0.000,0.000,0.000,0.000
10569,208.801,218.258,237.190,271.866,294.973,257.756,278.716,278.716,213.458,274.807,245.410,215.366
10570,97.959,103.560,119.360,123.796,133.980,105.178,103.640,103.640,114.480,124.743,117.907,104.940
10571,18.694,21.646,24.060,28.143,38.321,24.800,23.218,23.218,21.314,23.491,22.019,19.257
106,24.973,28.387,39.399,23.851,2.889,0.000,0.000,0.000,108.321,18.146,15.363,21.856
108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
109,40.958,44.316,53.225,56.505,59.258,84.454,47.437,47.437,52.297,59.606,50.346,44.579
110,101.509,101.337,124.988,141.870,151.229,144.235,133.116,133.116,127.051,138.823,118.974,105.158
11215,12.876,13.399,14.247,13.614,15.028,13.149,8.000,8.000,21.725,15.275,15.569,14.052
11419,25.213,27.206,51.410,64.353,65.075,60.132,83.000,83.000,1.000,2.593,0.000,0.000
11420,15.420,15.591,17.203,14.831,16.542,16.495,16.000,16.000,15.968,15.817,15.931,15.941
11421,161.137,180.430,200.096,232.540,240.803,243.204,272.000,272.000,178.189,206.102,183.841,159.605
11422,0.016,0.000,0.000,0.589,4.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11423,59.901,65.144,74.354,90.100,97.701,92.337,90.000,90.000,68.666,78.502,75.543,64.656
11424,0.013,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11425,81.413,90.599,100.316,99.271,104.065,106.562,127.000,127.000,96.967,115.285,95.972,85.043
11428,33.659,4.049,3.882,1.000,1.000,1.000,1.000,1.000,64.997,68.866,72.289,68.230
11429,91.831,80.908,76.413,53.910,51.743,52.854,64.000,64.000,47.942,49.695,68.624,79.440
11430,331.296,314.802,368.605,384.517,426.032,409.146,397.000,397.000,345.987,362.083,350.372,385.881
11431,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11432,2.996,2.280,1.969,1.121,1.000,1.000,1.000,1.000,2.784,3.000,3.000,3.000
11433,110.710,126.169,157.876,177.511,145.391,159.562,168.000,168.000,117.077,130.794,121.876,128.136
11434,101.971,99.292,117.340,151.464,161.339,158.161,162.000,162.000,139.856,151.728,131.483,109.053
11473,26.913,30.423,33.759,26.210,28.093,31.539,16.000,16.000,41.421,40.772,32.475,28.667
11492,0.000,0.000,2.683,1.795,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11759,19.283,19.463,21.598,22.194,23.766,24.186,22.752,22.752,22.268,24.438,20.961,19.259
11760,181.743,196.694,209.817,255.411,282.384,264.344,261.336,261.336,246.453,270.202,224.794,200.865
11761,30.117,31.421,33.106,31.563,46.939,43.921,49.970,49.970,40.406,44.581,36.301,29.981
11762,42.613,46.606,48.081,82.411,80.467,64.747,48.563,48.563,66.525,60.581,56.128,51.759
11763,32.350,33.791,36.262,38.293,41.087,38.232,37.918,37.918,35.372,38.476,32.603,26.349
