SWNO,VOLTAGE,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
1102,22KV,92.389,102.723,106.061,123.698,128.475,120.584,136.144,136.144,108.977,110.157,93.751,66.215
1103,22KV,102.193,107.356,118.431,137.569,148.191,134.438,132.592,132.592,117.787,136.851,119.913,104.350
1128,22KV,59.446,69.649,83.887,96.127,138.809,137.713,173.458,173.458,111.959,124.805,101.583,84.117
1129,22KV,99.948,91.137,117.393,124.713,134.600,131.651,149.379,149.379,112.727,124.085,111.153,93.430
1133,22KV,76.663,90.766,100.196,120.750,121.859,122.721,130.959,130.959,84.364,98.219,88.555,75.979
1135,22KV,88.372,98.629,105.254,132.330,112.744,109.645,113.768,113.768,98.276,103.753,91.062,80.845
1143,22KV,87.552,95.222,102.596,126.222,141.253,131.687,130.789,130.789,122.338,133.688,111.004,98.425
1151,22KV,26.696,22.334,28.964,69.614,79.471,75.520,65.000,65.000,69.385,72.621,0.295,0.002
1159,22KV,117.624,118.296,131.326,146.433,179.249,176.495,177.329,177.329,142.661,157.636,136.418,121.650
1163,22KV,80.784,77.540,92.507,114.721,120.450,119.444,116.126,116.126,97.068,117.612,98.863,89.567
1171,22KV,69.811,75.266,79.624,105.467,100.379,104.868,109.359,109.359,86.725,82.739,74.188,63.865
1175,33KV,61.471,74.912,82.145,94.589,97.313,79.674,75.683,75.683,66.200,67.743,57.979,57.682
1192,22KV,81.071,93.045,105.807,108.417,114.999,117.070,120.774,120.774,100.808,107.604,90.721,79.837
1193,22KV,73.639,66.438,81.381,72.781,123.299,169.097,123.675,123.675,101.117,117.913,92.423,86.287
1285,33KV,107.672,114.676,118.741,82.668,88.479,88.047,91.084,91.084,71.035,77.578,66.695,69.482
1289,22KV,76.316,82.088,90.070,75.549,107.152,105.656,77.071,77.071,62.871,88.160,86.315,74.590
22001,22KV,112.543,120.195,137.444,151.958,159.026,157.826,158.478,158.478,145.323,154.275,125.783,108.548
33001,33KV,102.448,113.501,121.684,142.338,152.267,155.933,165.286,165.286,126.126,136.607,119.979,103.274
33002,33KV,116.136,117.904,139.687,170.187,175.896,170.809,191.431,191.431,155.581,167.899,144.948,130.751
33003,33KV,97.280,103.868,109.935,120.365,122.731,124.821,74.000,74.000,121.520,117.700,100.825,89.175
33004,33KV,38.687,43.538,47.094,49.511,49.083,46.773,24.000,24.000,61.075,51.938,41.540,38.473
33006,33KV,115.025,123.449,148.682,161.931,161.313,157.114,149.155,149.155,171.932,155.116,129.622,115.189
33008,33KV,109.087,105.072,124.232,134.380,149.585,143.142,133.400,133.400,112.256,117.667,113.462,124.736
33009,33KV,144.281,154.222,175.030,198.788,190.975,188.475,183.268,183.268,172.088,188.234,160.110,133.533
33010,33KV,47.799,99.433,114.177,130.345,142.972,139.739,147.952,147.952,120.698,41.337,0.000,0.000
33011,33KV,101.431,110.973,129.917,150.404,137.837,139.952,148.887,148.887,124.718,134.614,118.763,100.833
33012,22KV,,47.229,51.848,58.050,,,,,,,,
33012,33KV,64.591,81.896,99.381,127.425,168.110,164.374,162.668,162.668,45.930,45.930,47.851,45.056
33015,33KV,111.081,116.664,136.341,164.917,169.687,157.644,152.000,152.000,129.400,148.855,128.097,111.385
33018,33KV,109.442,69.093,75.418,96.426,99.882,103.684,92.315,92.315,76.620,177.489,170.042,147.004
33019,33KV,126.512,126.782,151.371,181.055,209.472,207.820,215.370,215.370,221.533,237.397,209.414,212.579
33020,33KV,84.054,54.551,63.815,130.367,149.700,137.020,144.656,144.656,108.008,116.064,99.579,97.228
33021,33KV,79.706,84.146,83.178,111.723,138.215,129.158,114.650,114.650,93.624,110.907,90.669,76.500
33022,33KV,78.549,79.985,93.169,112.089,128.939,122.742,112.697,112.697,88.699,104.067,85.473,74.889
33024,33KV,145.402,156.510,166.336,181.145,188.920,184.826,182.190,182.190,151.281,170.088,153.731,140.815
33026,33KV,100.618,104.365,118.024,132.131,129.829,137.361,143.593,143.593,111.392,129.593,119.382,104.638
33027,33KV,104.508,121.093,154.527,166.687,180.484,173.916,150.431,150.431,124.051,85.824,67.562,62.207
33030,33KV,130.919,131.598,146.443,159.288,164.554,160.866,159.651,159.651,142.987,165.712,154.667,144.698
33031,33KV,127.595,145.274,143.356,176.046,193.026,187.436,196.914,196.914,157.857,175.793,151.974,132.850
33032,33KV,109.581,128.353,148.578,168.842,190.100,184.133,186.755,186.755,142.466,148.522,120.191,87.111
33035,33KV,68.162,79.581,87.391,86.118,88.195,89.231,92.910,92.910,134.935,83.773,72.084,48.948
33036,33KV,113.907,120.032,138.218,159.751,164.230,151.458,143.934,143.934,138.015,148.413,132.440,114.071
33037,33KV,122.388,130.198,154.982,175.877,191.531,187.797,199.754,199.754,159.870,171.762,142.120,125.636
33038,33KV,65.353,69.067,73.846,85.081,89.816,85.952,88.027,88.027,72.716,79.164,72.148,59.032
33039,33KV,65.545,69.463,74.055,85.395,89.810,86.080,88.343,88.343,72.607,79.167,71.090,58.170
33040,33KV,105.697,109.494,124.645,142.558,150.916,159.636,157.981,157.981,124.336,134.090,120.669,103.009
33041,33KV,87.187,93.217,104.443,126.514,136.978,130.111,129.567,129.567,102.611,114.382,96.814,80.988
