Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH,DELAYED_REASON,FAULT_NATURE,
SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VISHWESHWAR NAGAR HETALI,40478,SAMANT,5587,,,
.06+70+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JAWAHAR NAGAR NO.3,13847,SONAVALA ESTATE NO.1,714,1)FAILED TO OPEN JAWAHAR NAGAR ROAD NO.12 S/S DMS SW.NO.25658 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN JAWAHAR NAGAR ROAD NO.12 S/S DMS SW.NO.25657 FAILED TO OPERATE FROM SCADA. 3)KASTURI KUNJ S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
0.15+185+225+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,,1)FAILED TO CLOSE GOREGAON SHOPPING CENTRE S/S DMS SW.NO.04673 FAILED TO OPERATE FROM SCADA.,,
120SQ.MM,PILC,11KV,HTCF SECTION,AAREY NO.2,18066,AAREY UNIT NO.7 KIOSK,18008,1)AAREY NO.2 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 2)FPI FAULTY AT AAREY UNIT NO.7 KIOSK S/S..,,
120SQ.MM,PILC,11KV,HTCF SECTION,AAREY SANKRAMAN STUDIO,19112,AAREY UNIT NO.2,19710,1) NON DMS SUBSTATION ARE IN ARREY AREA. DMS USED FOR ISOLATION AND RESTORATION.,,
120SQ.MM,PILC,11KV,HTCF SECTION,AJIT PARK,15725,TUREL PAKHADI NO.1,6900,1)TUREL PAKHADI NO.1 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)LIBERTY GARDEN SOUTH NO.2 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3) FEEDER TRIPPING AT PALM COURT REC-STN SW.NO.27081. 4)FAILED TO OPEN AJIT PARK S/S DMS SW.NO.15725 FAILED TO OPERATE FROM SCADA.,,
120SQ.MM,PILC,11KV,HTCF SECTION,BABREKAR NAGAR NO.1,18669,KANDIVLI HOUSING NO.3,18671,1) DMS OFFLINE AT KANDIVLI HOUSING NO.3 S/S.,,
120SQ.MM,PILC,11KV,HTCF SECTION,BHAGATSINGH NAGAR NO.1,28860,BHAGATSINGH NAGAR NO.3,34127,1)FAILED TO OPEN BANGUR NAGAR NO.3 S/S DMS SW.NO.31181 FAILED TO OPERATE FROM SCADA. DMS OPERATED AFTER GIVING MULTIPLE COMMANDS.,,
120SQ.MM,PILC,11KV,HTCF SECTION,DINDOSHI VASAHAT CENTRAL,17141,DINDOSHI VASAHAT SOUTH,14101,,,
120SQ.MM,PILC,11KV,HTCF SECTION,GOKULDHAM NO.2,7636,GOKULDHAM NO.1,6877,1) FPI MALFUNCTION AT GOKULDHAM NO.1 S/S SW.NO.06877 (GLOWN). 2) FPI MALFUNCTION AT GOKULDHAM NO.1 S/S SW.NO.06878 (GLOWN). 3)FAILED TO OPEN GOKULDHAM NO.1 S/S DMS SW.NO.06877 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN GOKULDHAM NO.1 S/S DMS SW.NO.06878 FAILED TO OPERATE FROM SCADA. 5)FAILED TO OPEN GOKULDHAM NO.1 S/S DMS SW.NO.06892 FAILED TO OPERATE FROM SCADA.,,
