FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH
15454,15454-38196,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-1238,1,15454,38196
15454,38195-34116,1S-MH-MU-ZST-CL02-1238,1S-MH-MU-ZST-CL02-0894,2,38195,34116
15454,34114-32764,1S-MH-MU-ZST-CL02-0894,1S-MH-MU-ZST-CL01-0860,3,34114,32764
15454,32766-31556,1S-MH-MU-ZST-CL01-0860,1S-MH-MU-ZST-CL02-0815,4,32766,31556
15454,31555-4467,1S-MH-MU-ZST-CL02-0815,1S-MH-MU-ZST-CL02-0054,5,31555,4467
15454,4465-17733,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0003,6,4465,17733
15454,17731-38557,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-1240,7,17731,38557
15454,38558-10421,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL03-0344,8,38558,10421
15454,4466-35381,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0645,5.1,4466,35381
15454,40767-9016,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0526,5.2,40767,9016
15451,15451-31551,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-0885,1,15451,31551
15451,39786-39785,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0414,2,39786,39785
15451,15770-29785,1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0198,3,15770,29785
15451,29783-37301,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-1121,4,29783,37301
15451,37302-6351,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,37302,6351
15451,6353-38538,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-1253,6,6353,38538
15451,38537-5999,1S-MH-MU-ZST-CL02-1253,1S-MH-MU-ZST-CL02-0013,7,38537,5999
15451,30975-36876,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1164,8,30975,36876
15451,36874-32412,1S-MH-MU-ZST-CL02-1164,1S-MH-MU-ZST-CL02-0842,9,36874,32412
15451,32410-35496,1S-MH-MU-ZST-CL02-0842,1S-MH-MU-ZST-CL02-0978,10,32410,35496
15451,35494-40416,1S-MH-MU-ZST-CL02-0978,1S-MH-MU-ZST-CL02-1347,11,35494,40416
15451,6001-39046,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1278,7.1,6001,39046
15451,18940-719,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-0296,5.1,18940,719
15451,31553-39603,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-RSTN-KHAR,1.1,31553,39603
15452,15452-44097,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL03-1207,1,15452,44097
15452,39817-29542,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL02-0746,2,39817,29542
15452,29544-29539,1S-MH-MU-ZST-CL02-0746,1S-MH-MU-ZST-CL02-0745,3,29544,29539
15452,29541-26907,1S-MH-MU-ZST-CL02-0745,1S-MH-MU-ZST-CL02-0698,4,29541,26907
15452,26905-1011,1S-MH-MU-ZST-CL02-0698,1S-MH-MU-ZST-CL02-0298,5,26905,1011
15452,2661-5952,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0005,6,2661,5952
15452,5954-39984,1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0942,7,5954,39984
15452,39982-37631,1S-MH-MU-ZST-CL02-0942,1S-MH-MU-ZST-CL02-1052,8,39982,37631
15452,37629-32992,1S-MH-MU-ZST-CL02-1052,1S-MH-MU-ZST-CL02-0872,9,37629,32992
15452,32990-32887,1S-MH-MU-ZST-CL02-0872,1S-MH-MU-ZST-CL02-0865,10,32990,32887
15452,32889-44229,1S-MH-MU-ZST-CL02-0865,1S-MH-MU-ZST-CL02-0996,11,32889,44229
15452,44230-2469,1S-MH-MU-ZST-CL02-0996,1S-MH-MU-ZST-CL02-0114,12,44230,2469
15452,2467-25702,1S-MH-MU-ZST-CL02-0114,1S-MH-MU-ZST-CL02-0657,13,2467,25702
15452,25700-528,1S-MH-MU-ZST-CL02-0657,1S-MH-MU-ZST-CL02-0541,14,25700,528
15452,6811-HTCONSUMER,1S-MH-MU-ZST-CL02-0298,NAN,5.1,6811,HTCONSUMER
15452,37568-31740,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-0822,1.1,37568,31740
15452,31738-32926,1S-MH-MU-ZST-CL03-0822,1S-MH-MU-ZST-CL02-0867,1.2,31738,32926
15452,32928-41902,1S-MH-MU-ZST-CL02-0867,1S-MH-MU-ZST-RSTN-BAND,1.3,32928,41902
15452,41902-43307,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL01-1398,1.4,41902,43307
15455,15455-26553,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-0683,1,15455,26553
15455,26555-29004,1S-MH-MU-ZST-CL02-0683,1S-MH-MU-ZST-CL02-0728,2,26555,29004
15455,29003-36632,1S-MH-MU-ZST-CL02-0728,1S-MH-MU-ZST-CL02-1158,3,29003,36632
15455,36631-39108,1S-MH-MU-ZST-CL02-1158,1S-MH-MU-ZST-CL02-0490,4,36631,39108
15455,39107-35015,1S-MH-MU-ZST-CL02-0490,1S-MH-MU-ZST-CL02-0969,5,39107,35015
15455,35013-NAN,1S-MH-MU-ZST-CL02-0969,NAN,6,35013,NAN
15455,35013-43066,1S-MH-MU-ZST-CL02-0969,1S-MH-MU-ZST-CL02-0031,5.1,35013,43066
15455,35015-NAN,1S-MH-MU-ZST-CL02-0969,NAN,5.2,35015,NAN
15458,15458-CAP BANK,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-RSTN-24TH,1,15458,CAP BANK
29198,29198-30178,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-9179,1,29198,30178
29198,30179-30487,1S-MH-MU-ZET-CL11-9179,1S-MH-MU-ZET-CL11-9183,2,30179,30487
29199,29199-30083,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-9180,1,29199,30083
29199,30084-30694,1S-MH-MU-ZET-CL11-9180,1S-MH-MU-ZET-CL11-9198,2,30084,30694
29199,30695-30488,1S-MH-MU-ZET-CL11-9198,1S-MH-MU-ZET-CL11-9183,3,30695,30488
29201,29201-2609,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-8539,1,29201,2609
29201,2610-12508,1S-MH-MU-ZET-CL11-8539,1S-MH-MU-ZET-CL11-8863,2,2610,12508
29201,12509-32786,1S-MH-MU-ZET-CL11-8863,1S-MH-MU-ZET-CL11-8141,3,12509,32786
29201,19391-35759,1S-MH-MU-ZET-CL11-8141,1S-MH-MU-ZET-CL11-9488,4,19391,35759
29201,35757-30452,1S-MH-MU-ZET-CL11-9488,1S-MH-MU-ZET-CL11-8879,5,35757,30452
29201,30451-11634,1S-MH-MU-ZET-CL11-8879,1S-MH-MU-ZET-CL11-8872,6,30451,11634
29201,32723-13745,1S-MH-MU-ZET-CL11-8872,1S-MH-MU-ZET-CL11-8875,7,32723,13745
29201,13744-26807,1S-MH-MU-ZET-CL11-8875,1S-MH-MU-ZET-CL11-9056,8,13744,26807
29201,26809-11688,1S-MH-MU-ZET-CL11-9056,1S-MH-MU-ZET-CL11-8871,9,26809,11688
29201,35758-HTCONSUMER,1S-MH-MU-ZET-CL11-9488,NAN,4.1,35758,HTCONSUMER
29201,36479-16376,1S-MH-MU-ZET-CL11-8141,1S-MH-MU-ZET-CL11-8140,3.1,36479,16376
29201,32785-11535,1S-MH-MU-ZET-CL11-8141,1S-MH-MU-ZET-CL11-8138,3.2,32785,11535
29202,29202-5297,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-8177,1,29202,5297
29202,17631-7335,1S-MH-MU-ZET-CL11-8177,1S-MH-MU-ZET-CL08-8499,2,17631,7335
29202,7336-10190,1S-MH-MU-ZET-CL08-8499,1S-MH-MU-ZET-CL08-8221,3,7336,10190
