SWITCH_NO,STATION_NAME,STD_CABLE_SIZE,CABLE_TYPE,TIME_OUTAGE,SOURCE_SS,FROM_SWITCH,DESTINATION_SS,TO_SWITCH,VOLTAGE,TIME_DIFFERENCE_HOURS,RELAY_FUSE_B,DIVISION,RELAY_FUSE,FAULT_MONTH,PREV_FAULT_TIME,DAYS_SINCE_PREV,REPEAT_FAULT_1M,SOURCE_SWITCH_ID,DESTINATION_SWITCH_ID,MEASUREDLENGTH,PATH,CABLETYPE,NUMBEROFCORES,ARMOURED,NEUTRALMATERIAL,CABLEID,CABLECONDUCTORMATERIAL,DIVISIONCODE,ZONECODE,REMARKS,SOURCE_SS_cable,DESTINATION_SS_cable,DATECREATED,NO_OF_SEGMENT,SWNO_x,I_Month_01,PEAK_Month_01,CYCLE_Month_01,OVR_Month_01,Num_Faults,SWITCH_NO_cable,FAULT_FROM_SWITCH,FAULT_TO_SWITCH,FAULT_TIME_DIFFERENCE_HOURS_AVG,FAULT_LATEST_OUTAGE_TIME,IR_Measurement_MOhm,Tan_Delta,Partial_Discharge_Frequency,MONTH,PEAK_LOAD,MEAN_LOAD,STD_LOAD,CYCLE_COUNT,MONTH_NUM
T22VIK07_04,TATA S VIKHROLI REC-STN,400,XLPE,2016-11-03 12:07:00+00:00,TATA`S VIKHROLI REC-STN,T22VIK07_04,SHIVAJI NAGAR REC-STN,22001,22KV,0.0166666666666666,,CHEMBUR,2.0,2016-11,,,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,11
T22VIK07_04,TATA S VIKHROLI REC-STN,400,XLPE,2017-12-05 14:54:00+00:00,TATA S VIKHROLI REC-STN,T22VIK07_04,SHIVAJI NAGAR REC-STN,22001,22KV,0.0166666666666666,,CHEMBUR,2.0,2017-12,2016-11-03 12:07:00+00:00,397.0,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,12
T22VIK07_04,TATA S VIKHROLI REC-STN,400,XLPE,2018-02-01 02:59:00+00:00,TATA`S VIKHROLI REC-STN,T22VIK07_04,SHIVAJI NAGAR REC-STN,22001,22KV,0.0166666666666666,,CHEMBUR,2.0,2018-02,2017-12-05 14:54:00+00:00,57.0,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,2
T22VIK07_04,TATA S VIKHROLI REC-STN,400,XLPE,2018-12-13 00:34:00+00:00,TATA`S VIKHROLI REC-STN,T22VIK07_04,SHIVAJI NAGAR REC-STN,22001,22KV,0.5777777777777777,,CHEMBUR,2.0,2018-12,2018-02-01 02:59:00+00:00,314.0,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,12
T22VIK07_04,TATA S VIKHROLI REC-STN,400,XLPE,2020-02-26 23:47:00+00:00,TATA S VIKHROLI REC-STN,T22VIK07_04,SHIVAJI NAGAR REC-STN,22001,22KV,0.4366666666666666,,CHEMBUR,2.0,2020-02,2018-12-13 00:34:00+00:00,440.0,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,2
22001,SHIVAJI NAGAR REC-STN (10MVA-2),400,XLPE,2020-11-11 19:06:00+00:00,TATA`S VIKHROLI REC-STN,T22VIK07_04,SHIVAJI NAGAR REC-STN,22001,22KV,0.0166666666666666,,CHEMBUR,2.0,2020-11,2020-02-26 23:47:00+00:00,258.0,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,11
T22VIK07_04,TATA S VIKHROLI REC-STN,300+400,XLPE,2021-02-10 00:10:00+00:00,TAGORE NGR. REC-STN,01103,SHIVAJI NAGAR REC-STN,22001,22KV,2.276666666666667,,CHEMBUR,2.0,2021-02,2020-11-11 19:06:00+00:00,90.0,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,2
T22VIK07_04,TATA S VIKHROLI REC-STN,400,XLPE,2021-04-21 09:22:00+00:00,TATA S VIKHROLI REC-STN,T22VIK07_04,SHIVAJI NAGAR REC-STN,22001,22KV,0.7613888888888889,,CHEMBUR,2.0,2021-04,2021-02-10 00:10:00+00:00,70.0,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,4
T22VIK07_04,TATA S VIKHROLI REC-STN,,PILC+XLPE,2022-07-17 00:18:00+00:00,TATA S VIKHROLI REC-STN,T22VIK_04,SHIVAJI NAGAR REC-STN,22001,22KV,0.5388888888888889,,CHEMBUR,2.0,2022-07,2021-04-21 09:22:00+00:00,451.0,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,7
T22VIK07_04,TATA S VIKHROLI REC-STN,400+300,XLPE,2022-09-24 14:17:00+00:00,TAGORE NGR. REC-STN,01103,SHIVAJI NAGAR REC-STN,22001,22KV,0.7847222222222222,,POWAI,2.0,2022-09,2022-07-17 00:18:00+00:00,69.0,False,T22VIK0704,22001,6469.413,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.20 -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.34B -> JT.NO.34B → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.41 -> JT.NO.41 -> SWNO_T22VIK0704 → JT.NO.01,XLPE,3.0,Y,AL,HT22KV6908561P13,AL,6000.0,6063.0,NAN,TATA'S VIKHROLI REC-STN,SHIVAJI NAGAR REC-STN,2019-02-06 00:00:00+00:00,42.0,22001.0,112.096,158.75,3.0,0.0,1.0,T22VIK0704,T22VIK0704,01103,0.462,2025-03-11 01:46:00+00:00,,,,,,,,,9
