YM,ACTUAL_FAULTS,PRED_FAULTS,YEAR,MONTH,PRED_FAULTS_INT,FAULT_PROB_PCT
2016-09,2,0.0,2016,9,0,0.0
2016-10,2,0.0,2016,10,0,0.0
2016-11,9,2.927367532304376,2016,11,3,94.65
2016-12,4,23.57225752584543,2016,12,24,100.0
2017-01,6,10.147537673434664,2017,1,10,100.0
2017-02,9,16.323557962730394,2017,2,16,100.0
2017-03,13,21.89742249106069,2017,3,22,100.0
2017-04,9,27.31306411836313,2017,4,27,100.0
2017-05,21,35.22888990156555,2017,5,35,100.0
2017-06,13,42.852585988627496,2017,6,43,100.0
2017-07,7,43.818856976644724,2017,7,44,100.0
2017-08,4,16.940253976411718,2017,8,17,100.0
2017-09,7,5.052018853395431,2017,9,5,99.36
2017-10,11,19.525020033513538,2017,10,20,100.0
2017-11,15,48.4233473037332,2017,11,48,100.0
2017-12,6,28.12342539398762,2017,12,28,100.0
2018-01,10,38.26190582877897,2018,1,38,100.0
2018-02,10,58.2730962723614,2018,2,58,100.0
2018-03,14,47.26550853951484,2018,3,47,100.0
2018-04,28,36.35994251178964,2018,4,36,100.0
2018-05,8,107.37262089940523,2018,5,107,100.0
2018-06,9,29.91847459940464,2018,6,30,100.0
2018-07,1,27.394127076424724,2018,7,27,100.0
2018-08,6,15.248967959665567,2018,8,15,100.0
2018-09,5,55.99803557869984,2018,9,56,100.0
2018-10,8,29.816806959645817,2018,10,30,100.0
2018-11,4,28.131274363181593,2018,11,28,100.0
2018-12,10,18.998220454945926,2018,12,19,100.0
2019-01,9,37.06823117642151,2019,1,37,100.0
2019-02,5,53.978938097767724,2019,2,54,100.0
2019-03,13,62.651671579421844,2019,3,63,100.0
2019-04,9,70.49936073271023,2019,4,70,100.0
2019-05,15,51.501804517810314,2019,5,52,100.0
2019-06,16,41.58128592045341,2019,6,42,100.0
2019-07,8,23.994847964857794,2019,7,24,100.0
2019-08,3,16.552159712821933,2019,8,17,100.0
2019-09,1,35.40285476226149,2019,9,35,100.0
2019-10,6,15.243621984681615,2019,10,15,100.0
2019-11,8,34.41320583284123,2019,11,34,100.0
2019-12,9,50.81095587820233,2019,12,51,100.0
2020-01,16,68.32416834252187,2020,1,68,100.0
2020-02,10,62.78287035447197,2020,2,63,100.0
2020-03,8,44.116106127621194,2020,3,44,100.0
2020-04,3,29.551914336445105,2020,4,30,100.0
2020-05,14,65.6357393998341,2020,5,66,100.0
2020-06,8,63.153316398941975,2020,6,63,100.0
2020-07,6,62.562414782854674,2020,7,63,100.0
2020-08,3,55.51167221195448,2020,8,56,100.0
2020-09,5,33.27070900771694,2020,9,33,100.0
2020-10,14,54.33497470804258,2020,10,54,100.0
2020-11,12,50.6420957351425,2020,11,51,100.0
2020-12,6,84.75079880767697,2020,12,85,100.0
2021-01,5,61.05186551416894,2021,1,61,100.0
2021-02,8,83.07568785341682,2021,2,83,100.0
2021-03,7,78.85922887024067,2021,3,79,100.0
2021-04,13,67.32249089952496,2021,4,67,100.0
2021-05,16,65.62693792683982,2021,5,66,100.0
2021-06,13,81.3263595789374,2021,6,81,100.0
2021-07,9,114.15679169508391,2021,7,114,100.0
2021-08,7,113.41569738234057,2021,8,113,100.0
2021-09,13,55.28527295741835,2021,9,55,100.0
2021-10,8,124.94788667970877,2021,10,125,100.0
2021-11,12,99.23629479625075,2021,11,99,100.0
2021-12,4,87.20983699637317,2021,12,87,100.0
2022-01,9,86.8570574004947,2022,1,87,100.0
2022-02,12,66.13962320572548,2022,2,66,100.0
2022-03,10,18.914483028980705,2022,3,19,100.0
2022-04,18,65.14424337732372,2022,4,65,100.0
2022-05,21,33.02727828591609,2022,5,33,100.0
2022-06,7,87.69164184122957,2022,6,88,100.0
2022-07,12,18.292820510247886,2022,7,18,100.0
2022-08,6,65.56638135642656,2022,8,66,100.0
2022-09,10,59.7186764584474,2022,9,60,100.0
2022-10,13,22.996168766942347,2022,10,23,100.0
2022-11,10,36.57820933913867,2022,11,37,100.0
2022-12,14,62.98423466831292,2022,12,63,100.0
2023-01,14,43.99529740742713,2023,1,44,100.0
2023-02,12,90.10523060952643,2023,2,90,100.0
2023-03,6,59.777576212049404,2023,3,60,100.0
2023-04,19,100.20032487094605,2023,4,100,100.0
2023-05,24,83.76810753251235,2023,5,84,100.0
2023-06,20,96.05738071573377,2023,6,96,100.0
2023-07,11,54.42101173357613,2023,7,54,100.0
2023-08,9,53.52842798687207,2023,8,54,100.0
2023-09,3,54.10204407697112,2023,9,54,100.0
2023-10,10,68.71753848480887,2023,10,69,100.0
2023-11,18,21.538930770892637,2023,11,22,100.0
2023-12,14,28.272382704428647,2023,12,28,100.0
2024-01,7,19.674305656668697,2024,1,20,100.0
2024-02,11,24.55656946656903,2024,2,25,100.0
2024-03,7,18.106245935293874,2024,3,18,100.0
2024-04,22,24.565976786918174,2024,4,25,100.0
2024-05,20,36.35007596262364,2024,5,36,100.0
2024-06,14,41.71239391412986,2024,6,42,100.0
2024-07,6,8.644135359868903,2024,7,9,99.98
2024-08,3,9.041719539658752,2024,8,9,99.99
2024-09,5,9.238485954678204,2024,9,9,99.99
2024-10,11,11.92058126130462,2024,10,12,100.0
2024-11,7,7.055879865178731,2024,11,7,99.91
2024-12,8,6.43586611907272,2024,12,6,99.84
2025-01,6,3.171766342397368,2025,1,3,95.81
2025-02,4,1.9809280882321136,2025,2,2,86.21
2025-03,13,4.182876631084737,2025,3,4,98.47
